theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial
"(1,1)",0.1,0.02,122.45701109481074,61,1423,5.249386982982049
"(1,1)",0.2,0.02,66.3662409161863,61,1423,2.8449337286629404
"(1,1)",0.3,0.02,78.46395682005526,61,1423,3.3635287182174074
"(1,1)",0.4,0.02,55.6675580866042,61,1423,2.386311344541712
"(1,1)",0.5,0.02,50.9097020892461,61,1423,2.1823554655263613
"(1,1)",0.6,0.02,44.038337400509405,61,1423,1.887799424758309
"(1,1)",0.7,0.02,42.180395895717155,61,1423,1.8081547081087468
"(1,1)",0.8,0.02,46.71749373255945,61,1423,2.002647306877109
"(1,1)",0.9,0.02,46.239291064045524,61,1423,1.9821481060483324
"(1,2)",0.1,0.02,108.81104198390275,61,1423,4.664422741404124
"(1,2)",0.2,0.02,90.27014906232402,61,1423,3.8696269099098846
"(1,2)",0.3,0.02,64.06249286505081,61,1423,2.7461785416501048
"(1,2)",0.4,0.02,56.8830658198416,61,1423,2.438416735776766
"(1,2)",0.5,0.02,49.598764055066304,61,1423,2.1261592462115564
"(1,2)",0.6,0.02,50.94202939004762,61,1423,2.1837412458137067
"(1,2)",0.7,0.02,40.240612348253464,61,1423,1.7250016537199306
"(1,2)",0.8,0.02,43.932493476361564,61,1423,1.8832621939972278
"(1,2)",0.9,0.02,44.422193280308704,61,1423,1.9042542446232122
"(1,3)",0.1,0.02,85.2955163516437,61,1423,3.656378424069055
"(1,3)",0.2,0.02,106.62944688659113,61,1423,4.570903907295895
"(1,3)",0.3,0.02,113.30781568942282,61,1423,4.857186758295708
"(1,3)",0.4,0.02,64.32166141034885,61,1423,2.757288366852621
"(1,3)",0.5,0.02,47.7624819244407,61,1423,2.0474430058966147
"(1,3)",0.6,0.02,43.65673674001181,61,1423,1.871441279789684
"(1,3)",0.7,0.02,36.56245845172818,61,1423,1.5673295611773852
"(1,3)",0.8,0.02,42.07061924532294,61,1423,1.8034488924558674
"(1,3)",0.9,0.02,44.97302591640878,61,1423,1.9278668874918732
"(2,1)",0.1,0.02,110.62541660169306,61,1423,4.742199868378972
"(2,1)",0.2,0.02,84.20951355557698,61,1423,3.6098245445468695
"(2,1)",0.3,0.02,58.593173584767065,61,1423,2.5117242365922636
"(2,1)",0.4,0.02,51.31293904809056,61,1423,2.199641097634241
"(2,1)",0.5,0.02,49.33210393986559,61,1423,2.1147282785184824
"(2,1)",0.6,0.02,42.521762661220684,61,1423,1.8227881393776961
"(2,1)",0.7,0.02,38.88284499029811,61,1423,1.6667979932594412
"(2,1)",0.8,0.02,49.27059912538294,61,1423,2.1120917404415738
"(2,1)",0.9,0.02,51.85885801360722,61,1423,2.2230431052916657
"(3,1)",0.1,0.02,124.7152708991854,61,1423,5.346192217041679
"(3,1)",0.2,0.02,114.8044335790959,61,1423,4.921342549771504
"(3,1)",0.3,0.02,49.187723837276586,61,1423,2.1085391103822007
"(3,1)",0.4,0.02,55.11499362383906,61,1423,2.3626244631441904
"(3,1)",0.5,0.02,45.334617401588794,61,1423,1.9433672955002927
"(3,1)",0.6,0.02,47.900262154085155,61,1423,2.053349256078141
"(3,1)",0.7,0.02,48.068146511393834,61,1423,2.060545985379497
