profile,value,mean_aic,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,129.70700600638995,10.704343006846537,108.72649371297074,150.68751829980917,20,11 theta values
p_gen,0.2,108.14870707797256,9.65731565629234,89.22036839163957,127.07704576430555,20,11 theta values
p_gen,0.3,101.06886647175547,9.007921551953153,83.41334022992729,118.72439271358365,20,11 theta values
p_gen,0.4,90.48064170800467,8.077151287057367,74.64942518537222,106.31185823063711,20,11 theta values
p_gen,0.5,86.61649594119874,8.287818256760412,70.37237215794833,102.86061972444914,20,11 theta values
p_gen,0.6,90.60831925371383,7.819250922328046,75.28258744595087,105.9340510614768,20,11 theta values
p_gen,0.7,78.42639320935739,5.855374860113973,66.949858483534,89.90292793518077,20,11 theta values
p_gen,0.8,94.14233015170072,6.8682537673269515,80.6805527677399,107.60410753566154,20,11 theta values
p_gen,0.9,101.32839257829652,6.058895343622074,89.45295770479726,113.20382745179577,20,11 theta values
theta,"(1,1)",127.7411020535188,7.685796041118712,112.67694181292613,142.8052622941115,20,9 p_gen values
theta,"(1,2)",127.69301220951718,6.832977756949156,114.30037580589683,141.08564861313752,20,9 p_gen values
theta,"(1,3)",138.45682577677775,6.378919346902809,125.95414385684825,150.95950769670725,20,9 p_gen values
theta,"(2,1)",103.2594675684697,8.71912457565635,86.16998340018326,120.34895173675615,20,9 p_gen values
theta,"(3,1)",102.52878995360001,9.452288612691506,84.00230427272466,121.05527563447536,20,9 p_gen values
theta,"(4,1)",81.45316778153438,7.650385397088634,66.45841240324066,96.4479231598281,20,9 p_gen values
theta,"(5,1)",83.66024381314115,8.517164783046962,66.9666008383691,100.3538867879132,20,9 p_gen values
theta,"(6,1)",90.14133532641796,8.653740473479418,73.18000399839829,107.10266665443763,20,9 p_gen values
theta,"(9,1)",77.24332318680351,7.865346795480756,61.827243467661226,92.6594029059458,20,9 p_gen values
theta,"(15,1)",80.18998145970613,8.40511441239417,63.71595721141356,96.66400570799871,20,9 p_gen values
theta,"(19,1)",63.83260380187894,7.520828912631711,49.09177913312078,78.5734284706371,20,9 p_gen values
