theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(19,1)",0.8,0.02,1,40,5,True,0.9268011396011395
"(19,1)",0.8,0.02,2,33,5,True,0.946318974757871
"(19,1)",0.8,0.02,3,25,5,True,0.9526387009472259
"(19,1)",0.8,0.02,4,29,5,True,0.9428009141696293
"(19,1)",0.8,0.02,5,20,5,True,0.9527665317139001
"(19,1)",0.8,0.02,6,30,5,True,0.9566009310893606
"(19,1)",0.8,0.02,7,17,5,True,0.957322443583121
"(19,1)",0.8,0.02,8,23,5,True,0.9576502732240436
"(19,1)",0.8,0.02,9,26,5,True,0.9581720818845977
"(19,1)",0.8,0.02,10,29,5,True,0.9531895151936906
"(19,1)",0.8,0.02,11,20,5,True,0.9587912087912088
"(19,1)",0.8,0.02,12,34,5,True,0.9374011741682975
"(19,1)",0.8,0.02,13,22,5,True,0.9531889576392194
"(19,1)",0.8,0.02,14,10,5,True,0.9569982586367991
"(19,1)",0.8,0.02,15,23,5,True,0.9568819731777649
"(19,1)",0.8,0.02,16,31,5,True,0.9459459459459459
"(19,1)",0.8,0.02,17,11,5,True,0.9575745583563403
"(19,1)",0.8,0.02,18,11,5,True,0.9587912087912088
"(19,1)",0.8,0.02,19,18,5,True,0.9580981687545879
"(19,1)",0.8,0.02,20,45,5,True,0.9315070574675366
"(19,1)",0.8,0.02,21,16,5,True,0.9544513457556936
"(19,1)",0.8,0.02,22,27,5,True,0.9344300092225029
"(19,1)",0.8,0.02,23,27,5,True,0.9546011349716257
"(19,1)",0.8,0.02,24,20,5,True,0.9575923392612858
"(19,1)",0.8,0.02,25,19,5,True,0.9561643835616438
"(19,1)",0.8,0.02,26,25,5,True,0.9558583060908961
"(19,1)",0.8,0.02,27,23,5,True,0.9581720818845977
"(19,1)",0.8,0.02,28,27,5,True,0.9279999999999999
"(19,1)",0.8,0.02,29,29,5,True,0.9473684210526315
"(19,1)",0.8,0.02,30,18,5,True,0.9489544863859797
