theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(4,1)",0.5,0.02,1,22,5,True,0.8025990547505966
"(4,1)",0.5,0.02,2,17,5,True,0.8298544395924308
"(4,1)",0.5,0.02,3,22,5,True,0.8393789150913875
"(4,1)",0.5,0.02,4,25,5,True,0.8701758671638858
"(4,1)",0.5,0.02,5,20,5,True,0.8698630136986301
"(4,1)",0.5,0.02,6,24,5,True,0.8229711413129336
"(4,1)",0.5,0.02,7,42,5,True,0.801948051948052
"(4,1)",0.5,0.02,8,15,5,True,0.8611094490459342
"(4,1)",0.5,0.02,9,70,3,False,0.5384615384615384
"(4,1)",0.5,0.02,10,29,5,True,0.8123343660033556
"(4,1)",0.5,0.02,11,13,5,True,0.8581122534854042
"(4,1)",0.5,0.02,12,9,5,True,0.8920863309352518
"(4,1)",0.5,0.02,13,23,5,True,0.8522461770919316
"(4,1)",0.5,0.02,14,24,5,True,0.8171886394923275
"(4,1)",0.5,0.02,15,20,5,True,0.8542341803887046
"(4,1)",0.5,0.02,16,20,5,True,0.8438055283608832
"(4,1)",0.5,0.02,17,13,5,True,0.8367346938775511
"(4,1)",0.5,0.02,18,19,5,True,0.8474367822967577
"(4,1)",0.5,0.02,19,24,5,True,0.8638569485657764
"(4,1)",0.5,0.02,20,17,5,True,0.8804493263216854
"(4,1)",0.5,0.02,21,37,5,True,0.8162206554278625
"(4,1)",0.5,0.02,22,43,5,True,0.7701863354037267
"(4,1)",0.5,0.02,23,24,5,True,0.8571428571428571
"(4,1)",0.5,0.02,24,15,5,True,0.8805173897623237
"(4,1)",0.5,0.02,25,34,5,True,0.770611672764676
"(4,1)",0.5,0.02,26,21,5,True,0.8340076529781101
"(4,1)",0.5,0.02,27,18,5,True,0.8693950177935943
"(4,1)",0.5,0.02,28,31,5,True,0.8749979657265611
"(4,1)",0.5,0.02,29,45,5,True,0.762719303842017
"(4,1)",0.5,0.02,30,15,5,True,0.8606271777003484
"(4,1)",0.5,0.02,31,70,2,False,0.389574927416939
"(4,1)",0.5,0.02,32,31,5,True,0.8867126520239608
"(4,1)",0.5,0.02,33,70,0,False,0.30547090166112795
"(4,1)",0.5,0.02,34,70,0,False,0.270388765247963
"(4,1)",0.5,0.02,35,12,5,True,0.8506959579228779
"(4,1)",0.5,0.02,36,62,5,True,0.801948051948052
"(4,1)",0.5,0.02,37,22,5,True,0.821167349163472
"(4,1)",0.5,0.02,38,27,5,True,0.7975227723019027
"(4,1)",0.5,0.02,39,26,5,True,0.8084948273442792
"(4,1)",0.5,0.02,40,23,5,True,0.8715277777777777
"(4,1)",0.5,0.02,41,10,5,True,0.8916967509025271
"(4,1)",0.5,0.02,42,11,5,True,0.8853046594982079
"(4,1)",0.5,0.02,43,34,5,True,0.8809532654729177
"(4,1)",0.5,0.02,44,70,1,False,0.3328161971444312
"(4,1)",0.5,0.02,45,16,5,True,0.8405635277127956
"(4,1)",0.5,0.02,46,17,5,True,0.8498293515358362
"(4,1)",0.5,0.02,47,27,5,True,0.8576633753287509
"(4,1)",0.5,0.02,48,22,5,True,0.836034183796505
"(4,1)",0.5,0.02,49,15,5,True,0.8920863309352518
"(4,1)",0.5,0.02,50,14,5,True,0.888276648299449
"(4,1)",0.5,0.02,51,21,5,True,0.8634474266162611
"(4,1)",0.5,0.02,52,43,5,True,0.8614864864864864
"(4,1)",0.5,0.02,53,33,5,True,0.7828974264264372
"(4,1)",0.5,0.02,54,19,5,True,0.8472141717203264
"(4,1)",0.5,0.02,55,45,5,True,0.7974683544303797
"(4,1)",0.5,0.02,56,35,5,True,0.8050568101826481
"(4,1)",0.5,0.02,57,19,5,True,0.8848920863309353
"(4,1)",0.5,0.02,58,24,5,True,0.8665428495622182
"(4,1)",0.5,0.02,59,12,5,True,0.8636927867138675
"(4,1)",0.5,0.02,60,70,0,False,0.2903974702386527
"(4,1)",0.5,0.02,61,30,5,True,0.8166389856717577
"(4,1)",0.5,0.02,62,22,5,True,0.8500000000000001
"(4,1)",0.5,0.02,63,14,5,True,0.8669066042828865
"(4,1)",0.5,0.02,64,22,5,True,0.8548916611950099
"(4,1)",0.5,0.02,65,13,5,True,0.8776557782852205
"(4,1)",0.5,0.02,66,18,5,True,0.8716643159748114
"(4,1)",0.5,0.02,67,22,5,True,0.8804493263216854
"(4,1)",0.5,0.02,68,45,5,True,0.7901927268796058
"(4,1)",0.5,0.02,69,31,5,True,0.8527397260273972
"(4,1)",0.5,0.02,70,21,5,True,0.8596532333645734
"(4,1)",0.5,0.02,71,43,5,True,0.8793103448275863
"(4,1)",0.5,0.02,72,70,1,False,0.33839988903032897
"(4,1)",0.5,0.02,73,33,5,True,0.8282828282828283
"(4,1)",0.5,0.02,74,34,5,True,0.7708282433422917
"(4,1)",0.5,0.02,75,15,5,True,0.8743364768975392
"(4,1)",0.5,0.02,76,27,5,True,0.7889872012934869
"(4,1)",0.5,0.02,77,19,5,True,0.8434867757393686
"(4,1)",0.5,0.02,78,18,5,True,0.8306189641497713
"(4,1)",0.5,0.02,79,70,1,False,0.32649947594099626
"(4,1)",0.5,0.02,80,31,5,True,0.7943671094797975
"(4,1)",0.5,0.02,81,16,5,True,0.8834718049819684
"(4,1)",0.5,0.02,82,70,2,False,0.401926066890743
"(4,1)",0.5,0.02,83,15,5,True,0.8484848484848485
"(4,1)",0.5,0.02,84,26,5,True,0.7961913441037052
"(4,1)",0.5,0.02,85,34,5,True,0.838990135428858
"(4,1)",0.5,0.02,86,42,5,True,0.8378378378378378
"(4,1)",0.5,0.02,87,16,5,True,0.8556701030927835
"(4,1)",0.5,0.02,88,22,5,True,0.8589850978864297
"(4,1)",0.5,0.02,89,18,5,True,0.8592443127316474
"(4,1)",0.5,0.02,90,12,5,True,0.881294964028777
"(4,1)",0.5,0.02,91,20,5,True,0.8341793235161347
"(4,1)",0.5,0.02,92,18,5,True,0.8749818524970964
"(4,1)",0.5,0.02,93,12,5,True,0.8767973075535471
"(4,1)",0.5,0.02,94,16,5,True,0.8819444444444445
"(4,1)",0.5,0.02,95,25,5,True,0.865326380976978
"(4,1)",0.5,0.02,96,33,5,True,0.7919015299666399
"(4,1)",0.5,0.02,97,42,5,True,0.8216301783587339
"(4,1)",0.5,0.02,98,22,5,True,0.8666666666666666
"(4,1)",0.5,0.02,99,45,5,True,0.7588374168589361
"(4,1)",0.5,0.02,100,37,5,True,0.799052939941263
