theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(6,1)",0.8,0.02,1,0.47,0.53,0.0,0.0,0.0,0.0
"(6,1)",0.8,0.02,2,0.39,0.56,0.05,0.0,0.0,0.0
"(6,1)",0.8,0.02,3,0.33,0.54,0.12,0.01,0.0,0.0
"(6,1)",0.8,0.02,4,0.29,0.48,0.21,0.02,0.0,0.0
"(6,1)",0.8,0.02,5,0.27,0.39,0.26,0.08,0.0,0.0
"(6,1)",0.8,0.02,6,0.26,0.33,0.31,0.09,0.01,0.0
"(6,1)",0.8,0.02,7,0.25,0.25,0.37,0.12,0.01,0.0
"(6,1)",0.8,0.02,8,0.2,0.23,0.43,0.11,0.02,0.01
"(6,1)",0.8,0.02,9,0.2,0.23,0.4,0.14,0.02,0.01
"(6,1)",0.8,0.02,10,0.17,0.23,0.39,0.17,0.03,0.01
"(6,1)",0.8,0.02,11,0.15,0.23,0.36,0.19,0.06,0.01
"(6,1)",0.8,0.02,12,0.13,0.19,0.36,0.24,0.07,0.01
"(6,1)",0.8,0.02,13,0.13,0.16,0.31,0.29,0.08,0.03
"(6,1)",0.8,0.02,14,0.12,0.17,0.28,0.28,0.12,0.03
"(6,1)",0.8,0.02,15,0.11,0.15,0.28,0.27,0.15,0.04
"(6,1)",0.8,0.02,16,0.09,0.16,0.26,0.22,0.18,0.09
"(6,1)",0.8,0.02,17,0.07,0.15,0.26,0.2,0.19,0.13
"(6,1)",0.8,0.02,18,0.07,0.14,0.23,0.19,0.2,0.17
"(6,1)",0.8,0.02,19,0.05,0.15,0.22,0.16,0.21,0.21
"(6,1)",0.8,0.02,20,0.05,0.15,0.16,0.19,0.17,0.28
"(6,1)",0.8,0.02,21,0.04,0.14,0.15,0.19,0.13,0.35
"(6,1)",0.8,0.02,22,0.04,0.13,0.13,0.21,0.1,0.39
"(6,1)",0.8,0.02,23,0.03,0.13,0.12,0.19,0.12,0.41
"(6,1)",0.8,0.02,24,0.03,0.12,0.1,0.2,0.11,0.44
"(6,1)",0.8,0.02,25,0.03,0.09,0.09,0.19,0.1,0.5
"(6,1)",0.8,0.02,26,0.03,0.08,0.09,0.15,0.13,0.52
"(6,1)",0.8,0.02,27,0.03,0.08,0.08,0.11,0.16,0.54
"(6,1)",0.8,0.02,28,0.03,0.07,0.09,0.07,0.18,0.56
"(6,1)",0.8,0.02,29,0.02,0.08,0.08,0.07,0.13,0.62
"(6,1)",0.8,0.02,30,0.02,0.08,0.06,0.08,0.1,0.66
