theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(6,1)",0.9,0.02,1,67,5,True,0.8047805264427325
"(6,1)",0.9,0.02,2,32,5,True,0.8969267467727865
"(6,1)",0.9,0.02,3,42,5,True,0.8558101995232464
"(6,1)",0.9,0.02,4,39,5,True,0.8345500712893029
"(6,1)",0.9,0.02,5,14,5,True,0.9107142857142857
"(6,1)",0.9,0.02,6,70,2,False,0.6888126805059723
"(6,1)",0.9,0.02,7,35,5,True,0.8711181425757513
"(6,1)",0.9,0.02,8,15,5,True,0.8805555555555555
"(6,1)",0.9,0.02,9,25,5,True,0.8457300275482094
"(6,1)",0.9,0.02,10,29,5,True,0.8888888888888888
"(6,1)",0.9,0.02,11,70,1,False,0.4605929806697242
"(6,1)",0.9,0.02,12,40,5,True,0.8401987481886978
"(6,1)",0.9,0.02,13,46,5,True,0.8953488372093023
"(6,1)",0.9,0.02,14,26,5,True,0.8871614844533601
"(6,1)",0.9,0.02,15,45,5,True,0.8872832369942196
"(6,1)",0.9,0.02,16,40,5,True,0.8583757209440909
"(6,1)",0.9,0.02,17,33,5,True,0.8840975749338292
"(6,1)",0.9,0.02,18,19,5,True,0.8674885723863368
"(6,1)",0.9,0.02,19,24,5,True,0.8879310344827586
"(6,1)",0.9,0.02,20,59,5,True,0.8289921930447126
"(6,1)",0.9,0.02,21,26,5,True,0.8743508549715009
"(6,1)",0.9,0.02,22,30,5,True,0.8821035433805238
"(6,1)",0.9,0.02,23,70,1,False,0.4675898565003631
"(6,1)",0.9,0.02,24,25,5,True,0.8789439422138141
"(6,1)",0.9,0.02,25,21,5,True,0.9005309036954606
"(6,1)",0.9,0.02,26,26,5,True,0.882588527974547
"(6,1)",0.9,0.02,27,16,5,True,0.900452067547836
"(6,1)",0.9,0.02,28,21,5,True,0.8953488372093023
"(6,1)",0.9,0.02,29,31,5,True,0.9052563822293473
"(6,1)",0.9,0.02,30,28,5,True,0.875
"(6,1)",0.9,0.02,31,28,5,True,0.9082397662877055
"(6,1)",0.9,0.02,32,29,5,True,0.8473574907019655
"(6,1)",0.9,0.02,33,54,5,True,0.842391304347826
"(6,1)",0.9,0.02,34,61,5,True,0.867809473720885
"(6,1)",0.9,0.02,35,43,5,True,0.8036253159108603
"(6,1)",0.9,0.02,36,57,5,True,0.8499857691484333
"(6,1)",0.9,0.02,37,27,5,True,0.901615575807788
"(6,1)",0.9,0.02,38,37,5,True,0.8439039528298227
"(6,1)",0.9,0.02,39,20,5,True,0.893371757925072
"(6,1)",0.9,0.02,40,22,5,True,0.8859070111577668
"(6,1)",0.9,0.02,41,22,5,True,0.9090909090909091
"(6,1)",0.9,0.02,42,27,5,True,0.8853868194842407
"(6,1)",0.9,0.02,43,29,5,True,0.9026384672599495
"(6,1)",0.9,0.02,44,27,5,True,0.871866295264624
"(6,1)",0.9,0.02,45,26,5,True,0.8631112515259693
"(6,1)",0.9,0.02,46,35,5,True,0.8739006122048353
"(6,1)",0.9,0.02,47,26,5,True,0.8419618528610354
"(6,1)",0.9,0.02,48,33,5,True,0.8978390528330441
"(6,1)",0.9,0.02,49,33,5,True,0.9013192438960357
"(6,1)",0.9,0.02,50,70,5,True,0.8187338501885874
"(6,1)",0.9,0.02,51,29,5,True,0.9020172910662825
"(6,1)",0.9,0.02,52,33,5,True,0.8813559322033898
"(6,1)",0.9,0.02,53,70,0,False,0.368325002405744
"(6,1)",0.9,0.02,54,19,5,True,0.8679147165886635
"(6,1)",0.9,0.02,55,22,5,True,0.8940716869288737
"(6,1)",0.9,0.02,56,70,0,False,0.40696944811322244
"(6,1)",0.9,0.02,57,26,5,True,0.882183908045977
"(6,1)",0.9,0.02,58,70,0,False,0.38520216554857317
"(6,1)",0.9,0.02,59,70,0,False,0.3701447498950123
"(6,1)",0.9,0.02,60,20,5,True,0.9056047197640118
"(6,1)",0.9,0.02,61,29,5,True,0.8696883852691218
"(6,1)",0.9,0.02,62,61,5,True,0.8274949358541526
"(6,1)",0.9,0.02,63,14,5,True,0.9
"(6,1)",0.9,0.02,64,35,5,True,0.8757062146892656
"(6,1)",0.9,0.02,65,70,0,False,0.4053887272758711
"(6,1)",0.9,0.02,66,31,5,True,0.8546677227256225
"(6,1)",0.9,0.02,67,22,5,True,0.85
"(6,1)",0.9,0.02,68,21,5,True,0.8837824089766834
"(6,1)",0.9,0.02,69,19,5,True,0.8956346323828805
"(6,1)",0.9,0.02,70,26,5,True,0.8885714285714286
"(6,1)",0.9,0.02,71,32,5,True,0.8607231223561337
"(6,1)",0.9,0.02,72,25,5,True,0.9026555329872866
"(6,1)",0.9,0.02,73,21,5,True,0.9071316614420063
"(6,1)",0.9,0.02,74,33,5,True,0.9044750723158075
"(6,1)",0.9,0.02,75,29,5,True,0.851649442465213
"(6,1)",0.9,0.02,76,23,5,True,0.8556818181818181
"(6,1)",0.9,0.02,77,37,5,True,0.871038374351076
"(6,1)",0.9,0.02,78,16,5,True,0.888769412730278
"(6,1)",0.9,0.02,79,35,5,True,0.8739495798319328
"(6,1)",0.9,0.02,80,24,5,True,0.887608069164265
"(6,1)",0.9,0.02,81,23,5,True,0.880905954702265
