theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(3,1)",0.9,0.02,1,70,0,False,0.2322629804051747
"(3,1)",0.9,0.02,2,35,5,True,0.817147995345393
"(3,1)",0.9,0.02,3,33,5,True,0.81630267283065
"(3,1)",0.9,0.02,4,58,5,True,0.770588711222412
"(3,1)",0.9,0.02,5,20,5,True,0.8378378378378379
"(3,1)",0.9,0.02,6,70,1,False,0.3096859424572718
"(3,1)",0.9,0.02,7,19,5,True,0.7956204379562044
"(3,1)",0.9,0.02,8,53,5,True,0.7081686442682996
"(3,1)",0.9,0.02,9,12,5,True,0.8709677419354838
"(3,1)",0.9,0.02,10,35,5,True,0.8440446885059648
"(3,1)",0.9,0.02,11,70,2,False,0.3579554117086762
"(3,1)",0.9,0.02,12,24,5,True,0.7925985106818044
"(3,1)",0.9,0.02,13,70,5,True,0.7454899186416697
"(3,1)",0.9,0.02,14,18,5,True,0.8539600941121325
"(3,1)",0.9,0.02,15,24,5,True,0.8066611421542057
"(3,1)",0.9,0.02,16,21,5,True,0.8663193652347696
"(3,1)",0.9,0.02,17,70,1,False,0.3231735787212549
"(3,1)",0.9,0.02,18,21,5,True,0.8755020080321284
"(3,1)",0.9,0.02,19,37,5,True,0.8044280442804428
"(3,1)",0.9,0.02,20,22,5,True,0.7560975609756098
"(3,1)",0.9,0.02,21,20,5,True,0.8425179218656571
"(3,1)",0.9,0.02,22,21,5,True,0.8749999999999999
"(3,1)",0.9,0.02,23,24,5,True,0.8098225681773239
"(3,1)",0.9,0.02,24,20,5,True,0.8351793200860708
"(3,1)",0.9,0.02,25,23,5,True,0.8440446885059647
"(3,1)",0.9,0.02,26,44,5,True,0.7103049063579739
"(3,1)",0.9,0.02,27,32,5,True,0.8518518518518519
"(3,1)",0.9,0.02,28,70,3,False,0.4216723723596764
"(3,1)",0.9,0.02,29,65,5,True,0.7630534789360145
"(3,1)",0.9,0.02,30,38,5,True,0.7811897698767282
"(3,1)",0.9,0.02,31,21,5,True,0.8663362502904051
"(3,1)",0.9,0.02,32,46,5,True,0.7778493036692783
"(3,1)",0.9,0.02,33,26,5,True,0.8208097005756317
"(3,1)",0.9,0.02,34,70,2,False,0.34575402850338544
"(3,1)",0.9,0.02,35,26,5,True,0.813602376986458
"(3,1)",0.9,0.02,36,28,5,True,0.7676209901433445
"(3,1)",0.9,0.02,37,18,5,True,0.8188679245283018
"(3,1)",0.9,0.02,38,70,2,False,0.37173213035025
"(3,1)",0.9,0.02,39,70,1,False,0.37507027887483463
"(3,1)",0.9,0.02,40,20,5,True,0.8335110434120335
"(3,1)",0.9,0.02,41,51,5,True,0.7445850429459292
"(3,1)",0.9,0.02,42,27,5,True,0.8187406744255447
"(3,1)",0.9,0.02,43,70,0,False,0.2351292022862118
"(3,1)",0.9,0.02,44,70,0,False,0.24794874798663838
"(3,1)",0.9,0.02,45,38,5,True,0.8552188552188553
"(3,1)",0.9,0.02,46,52,5,True,0.8010058592452587
"(3,1)",0.9,0.02,47,70,0,False,0.2562947081628431
"(3,1)",0.9,0.02,48,31,5,True,0.8439656915296215
"(3,1)",0.9,0.02,49,26,5,True,0.8696997709095294
"(3,1)",0.9,0.02,50,31,5,True,0.8259560979929094
"(3,1)",0.9,0.02,51,70,2,False,0.37055764599030383
"(3,1)",0.9,0.02,52,70,4,False,0.4234599538840298
"(3,1)",0.9,0.02,53,34,5,True,0.7833453799734413
"(3,1)",0.9,0.02,54,70,0,False,0.22946406812793674
"(3,1)",0.9,0.02,55,25,5,True,0.8706224726694061
"(3,1)",0.9,0.02,56,14,5,True,0.8735259313665482
"(3,1)",0.9,0.02,57,19,5,True,0.8735177865612648
"(3,1)",0.9,0.02,58,33,5,True,0.8096013791377272
"(3,1)",0.9,0.02,59,40,5,True,0.8051074277659278
"(3,1)",0.9,0.02,60,29,5,True,0.8365019011406845
"(3,1)",0.9,0.02,61,70,2,False,0.42853890857374777
"(3,1)",0.9,0.02,62,46,5,True,0.7668896575783759
"(3,1)",0.9,0.02,63,19,5,True,0.8423738644595055
"(3,1)",0.9,0.02,64,70,0,False,0.24830257962545527
"(3,1)",0.9,0.02,65,18,5,True,0.8344356949033944
"(3,1)",0.9,0.02,66,20,5,True,0.8169407595856806
"(3,1)",0.9,0.02,67,29,5,True,0.790766263320351
"(3,1)",0.9,0.02,68,28,5,True,0.8063807174040066
"(3,1)",0.9,0.02,69,24,5,True,0.803767491926803
"(3,1)",0.9,0.02,70,16,5,True,0.8715632233807757
"(3,1)",0.9,0.02,71,70,2,False,0.38675335083389034
"(3,1)",0.9,0.02,72,29,5,True,0.8299557230246755
"(3,1)",0.9,0.02,73,10,5,True,0.8790322580645162
"(3,1)",0.9,0.02,74,21,5,True,0.8131325017651213
"(3,1)",0.9,0.02,75,42,5,True,0.8236954531583767
"(3,1)",0.9,0.02,76,17,5,True,0.8168853317011076
"(3,1)",0.9,0.02,77,70,0,False,0.230470467389962
"(3,1)",0.9,0.02,78,70,4,False,0.695364238410596
"(3,1)",0.9,0.02,79,70,1,False,0.3012537412334997
"(3,1)",0.9,0.02,80,70,4,False,0.4608025669785137
"(3,1)",0.9,0.02,81,52,5,True,0.8222592970136929
"(3,1)",0.9,0.02,82,22,5,True,0.8104991723437863
"(3,1)",0.9,0.02,83,36,5,True,0.8129935111245098
"(3,1)",0.9,0.02,84,70,1,False,0.3000044928880048
"(3,1)",0.9,0.02,85,25,5,True,0.8024900321680066
"(3,1)",0.9,0.02,86,70,3,False,0.4820109310454334
"(3,1)",0.9,0.02,87,13,5,True,0.86328125
"(3,1)",0.9,0.02,88,70,2,False,0.37743102469535683
"(3,1)",0.9,0.02,89,57,5,True,0.8048128868454988
"(3,1)",0.9,0.02,90,46,5,True,0.7754641267578354
"(3,1)",0.9,0.02,91,21,5,True,0.8426995124454709
"(3,1)",0.9,0.02,92,48,5,True,0.7732296439279676
"(3,1)",0.9,0.02,93,30,5,True,0.7977941176470589
"(3,1)",0.9,0.02,94,26,5,True,0.8546166717333584
"(3,1)",0.9,0.02,95,27,5,True,0.8741600860721462
"(3,1)",0.9,0.02,96,44,5,True,0.7423715945960939
"(3,1)",0.9,0.02,97,70,3,False,0.3874204556916107
"(3,1)",0.9,0.02,98,70,0,False,0.2504767677563243
"(3,1)",0.9,0.02,99,22,5,True,0.8339194717576977
"(3,1)",0.9,0.02,100,70,1,False,0.3372985277369604
