theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(6,1)",0.5,0.02,1,25,5,True,0.8889666025528938
"(6,1)",0.5,0.02,2,24,5,True,0.9003260869565217
"(6,1)",0.5,0.02,3,23,5,True,0.8462273475470132
"(6,1)",0.5,0.02,4,18,5,True,0.8917961143201631
"(6,1)",0.5,0.02,5,9,5,True,0.9075039914848324
"(6,1)",0.5,0.02,6,16,5,True,0.9009888697873304
"(6,1)",0.5,0.02,7,25,5,True,0.8900660915190959
"(6,1)",0.5,0.02,8,51,5,True,0.8311970477626399
"(6,1)",0.5,0.02,9,25,5,True,0.8754963242520738
"(6,1)",0.5,0.02,10,17,5,True,0.8742857142857142
"(6,1)",0.5,0.02,11,19,5,True,0.8882521489971347
"(6,1)",0.5,0.02,12,49,5,True,0.8365122615803815
"(6,1)",0.5,0.02,13,28,5,True,0.8573498836609466
"(6,1)",0.5,0.02,14,27,5,True,0.8511378475515142
"(6,1)",0.5,0.02,15,21,5,True,0.85614115018282
"(6,1)",0.5,0.02,16,17,5,True,0.8441563075386744
"(6,1)",0.5,0.02,17,20,5,True,0.8611111111111112
"(6,1)",0.5,0.02,18,22,5,True,0.8828309092386446
"(6,1)",0.5,0.02,19,12,5,True,0.8921714133159232
"(6,1)",0.5,0.02,20,20,5,True,0.8585470085470085
"(6,1)",0.5,0.02,21,30,5,True,0.8801859747240857
"(6,1)",0.5,0.02,22,19,5,True,0.8735601132458776
"(6,1)",0.5,0.02,23,26,5,True,0.8480662983425414
"(6,1)",0.5,0.02,24,14,5,True,0.8871615720524018
"(6,1)",0.5,0.02,25,12,5,True,0.9000378336202752
"(6,1)",0.5,0.02,26,70,2,False,0.4863653497252457
"(6,1)",0.5,0.02,27,69,5,True,0.690744920993228
"(6,1)",0.5,0.02,28,30,5,True,0.8601572339795835
"(6,1)",0.5,0.02,29,29,5,True,0.8623930900160894
"(6,1)",0.5,0.02,30,18,5,True,0.8817571830016632
"(6,1)",0.5,0.02,31,34,5,True,0.8486738279285979
"(6,1)",0.5,0.02,32,18,5,True,0.861111111111111
"(6,1)",0.5,0.02,33,32,5,True,0.85595567867036
"(6,1)",0.5,0.02,34,24,5,True,0.8911174785100286
"(6,1)",0.5,0.02,35,29,5,True,0.8806818181818181
"(6,1)",0.5,0.02,36,22,5,True,0.8697441217150761
"(6,1)",0.5,0.02,37,15,5,True,0.9048410061699098
"(6,1)",0.5,0.02,38,18,5,True,0.906158357771261
"(6,1)",0.5,0.02,39,11,5,True,0.9021254723602491
"(6,1)",0.5,0.02,40,15,5,True,0.9035087719298246
"(6,1)",0.5,0.02,41,24,5,True,0.8611111111111112
"(6,1)",0.5,0.02,42,21,5,True,0.8757062146892656
"(6,1)",0.5,0.02,43,21,5,True,0.9054370418991359
"(6,1)",0.5,0.02,44,15,5,True,0.8968481375358165
"(6,1)",0.5,0.02,45,14,5,True,0.9053003609028979
"(6,1)",0.5,0.02,46,15,5,True,0.9041371522711958
"(6,1)",0.5,0.02,47,20,5,True,0.8721590909090909
"(6,1)",0.5,0.02,48,18,5,True,0.8948926104142099
"(6,1)",0.5,0.02,49,20,5,True,0.9090198123044838
"(6,1)",0.5,0.02,50,30,5,True,0.8427139420393331
"(6,1)",0.5,0.02,51,22,5,True,0.8622685857094085
"(6,1)",0.5,0.02,52,35,5,True,0.876326698555154
"(6,1)",0.5,0.02,53,19,5,True,0.8843742083421477
"(6,1)",0.5,0.02,54,39,5,True,0.8495044031117956
"(6,1)",0.5,0.02,55,18,5,True,0.8956521739130434
"(6,1)",0.5,0.02,56,10,5,True,0.9090687568533485
"(6,1)",0.5,0.02,57,35,5,True,0.8463935106343532
"(6,1)",0.5,0.02,58,24,5,True,0.8930635838150288
"(6,1)",0.5,0.02,59,22,5,True,0.8778409090909091
"(6,1)",0.5,0.02,60,13,5,True,0.9058823529411765
"(6,1)",0.5,0.02,61,39,5,True,0.8109055913934331
"(6,1)",0.5,0.02,62,50,5,True,0.7940907898959075
"(6,1)",0.5,0.02,63,52,5,True,0.8000768802614082
"(6,1)",0.5,0.02,64,29,5,True,0.8546282757845012
"(6,1)",0.5,0.02,65,28,5,True,0.8610376595307954
"(6,1)",0.5,0.02,66,48,5,True,0.835700401312014
"(6,1)",0.5,0.02,67,24,5,True,0.8621662661035695
"(6,1)",0.5,0.02,68,49,5,True,0.8221785304842305
"(6,1)",0.5,0.02,69,59,5,True,0.8930635838150288
"(6,1)",0.5,0.02,70,24,5,True,0.8935251709444059
"(6,1)",0.5,0.02,71,19,5,True,0.8704225352112677
"(6,1)",0.5,0.02,72,29,5,True,0.8416267676317936
"(6,1)",0.5,0.02,73,18,5,True,0.8700330132052821
"(6,1)",0.5,0.02,74,18,5,True,0.8920537819409927
"(6,1)",0.5,0.02,75,62,5,True,0.8904899135446686
"(6,1)",0.5,0.02,76,28,5,True,0.8638888888888889
"(6,1)",0.5,0.02,77,24,5,True,0.8930635838150288
"(6,1)",0.5,0.02,78,24,5,True,0.8680873889460076
"(6,1)",0.5,0.02,79,51,5,True,0.8206012797805416
"(6,1)",0.5,0.02,80,16,5,True,0.8895048041389505
"(6,1)",0.5,0.02,81,32,5,True,0.9122807017543859
"(6,1)",0.5,0.02,82,27,5,True,0.8663859050339822
"(6,1)",0.5,0.02,83,11,5,True,0.8965087281795512
"(6,1)",0.5,0.02,84,14,5,True,0.9018472218488708
"(6,1)",0.5,0.02,85,22,5,True,0.88
"(6,1)",0.5,0.02,86,70,0,False,0.3909966641545643
"(6,1)",0.5,0.02,87,22,5,True,0.8908045977011494
"(6,1)",0.5,0.02,88,38,5,True,0.8575418994413407
"(6,1)",0.5,0.02,89,28,5,True,0.8447034961052886
"(6,1)",0.5,0.02,90,32,5,True,0.8476454293628808
"(6,1)",0.5,0.02,91,19,5,True,0.8662269959736982
"(6,1)",0.5,0.02,92,49,5,True,0.771555909865803
"(6,1)",0.5,0.02,93,22,5,True,0.8977202711028959
"(6,1)",0.5,0.02,94,21,5,True,0.8778317950742808
"(6,1)",0.5,0.02,95,10,5,True,0.9049598190760417
"(6,1)",0.5,0.02,96,14,5,True,0.8820898812411754
"(6,1)",0.5,0.02,97,30,5,True,0.8182313666712085
"(6,1)",0.5,0.02,98,32,5,True,0.8631300125066895
"(6,1)",0.5,0.02,99,31,5,True,0.859490528872623
"(6,1)",0.5,0.02,100,17,5,True,0.8590538823705254
