theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(2,1)",0.4,0.02,1,7,5,True,0.8553840499816244
"(2,1)",0.4,0.02,2,70,1,False,0.23464354252465128
"(2,1)",0.4,0.02,3,30,5,True,0.784952567992219
"(2,1)",0.4,0.02,4,34,5,True,0.8237885462555067
"(2,1)",0.4,0.02,5,28,5,True,0.858447488584475
"(2,1)",0.4,0.02,6,30,5,True,0.7723577235772358
"(2,1)",0.4,0.02,7,11,5,True,0.8504275059123159
"(2,1)",0.4,0.02,8,25,5,True,0.7635354875435805
"(2,1)",0.4,0.02,9,14,5,True,0.7689952560815183
"(2,1)",0.4,0.02,10,14,5,True,0.8463680864232263
"(2,1)",0.4,0.02,11,35,5,True,0.7389019709922392
"(2,1)",0.4,0.02,12,70,2,False,0.3074488664541084
"(2,1)",0.4,0.02,13,23,5,True,0.8037625865688646
"(2,1)",0.4,0.02,14,70,2,False,0.30717610996385014
"(2,1)",0.4,0.02,15,15,5,True,0.8389478211009175
"(2,1)",0.4,0.02,16,13,5,True,0.8350958116444511
"(2,1)",0.4,0.02,17,11,5,True,0.8399825831227251
"(2,1)",0.4,0.02,18,16,5,True,0.8572319201995013
"(2,1)",0.4,0.02,19,20,5,True,0.8504178128406082
"(2,1)",0.4,0.02,20,13,5,True,0.8604651162790697
"(2,1)",0.4,0.02,21,49,5,True,0.799163179916318
"(2,1)",0.4,0.02,22,40,5,True,0.7812920827771836
"(2,1)",0.4,0.02,23,14,5,True,0.8051883430385023
"(2,1)",0.4,0.02,24,18,5,True,0.8180595449778871
"(2,1)",0.4,0.02,25,18,5,True,0.7963329481764981
"(2,1)",0.4,0.02,26,70,1,False,0.22684240448375254
"(2,1)",0.4,0.02,27,44,5,True,0.7896154557690497
"(2,1)",0.4,0.02,28,22,5,True,0.8219026548672566
"(2,1)",0.4,0.02,29,12,5,True,0.8412145188248844
"(2,1)",0.4,0.02,30,20,5,True,0.7932817023039244
"(2,1)",0.4,0.02,31,43,5,True,0.7148206648091292
"(2,1)",0.4,0.02,32,15,5,True,0.8553840499816244
"(2,1)",0.4,0.02,33,17,5,True,0.8495932991776511
"(2,1)",0.4,0.02,34,20,5,True,0.767809826528733
"(2,1)",0.4,0.02,35,16,5,True,0.8440378500542407
"(2,1)",0.4,0.02,36,70,2,False,0.30678352373235435
"(2,1)",0.4,0.02,37,13,5,True,0.8060344827586207
