profile,value,mean_total_nll,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,63.94441209410405,5.352171503423269,53.45415594739445,74.43466824081366,20,11 theta values
p_gen,0.2,52.16526262989538,4.82865782814617,42.70109328672889,61.62943197306187,20,11 theta values
p_gen,0.3,48.625342326786836,4.503960775976576,39.79757920587275,57.45310544770092,20,11 theta values
p_gen,0.4,43.33122994491143,4.0385756435286835,35.415621683595205,51.24683820622765,20,11 theta values
p_gen,0.5,41.39915706150846,4.143909128380205,33.27709516988326,49.52121895313366,20,11 theta values
p_gen,0.6,43.395068717766016,3.909625461164023,35.73220281388453,51.057934621647505,20,11 theta values
p_gen,0.7,37.3041056955878,2.927687430056987,31.565838332676105,43.04237305849949,20,11 theta values
p_gen,0.8,45.16207416675945,3.4341268836634757,38.43118547477904,51.892962858739864,20,11 theta values
p_gen,0.9,48.75510538005736,3.0294476718110364,42.81738794330773,54.69282281680699,20,11 theta values
theta,"(1,1)",61.981662137870515,3.842898020559357,54.44958201757417,69.51374225816686,20,9 p_gen values
theta,"(1,2)",61.957617215869696,3.4164888784745777,55.261299014059524,68.65393541767986,20,9 p_gen values
theta,"(1,3)",67.3395239995,3.1894596734514047,61.08818303953525,73.59086495946475,20,9 p_gen values
theta,"(2,1)",49.74084489534596,4.359562287828175,41.196102811202735,58.28558697948918,20,9 p_gen values
theta,"(3,1)",49.37550608791112,4.726144306345753,40.11226324747344,58.6387489283488,20,9 p_gen values
theta,"(4,1)",38.837695001878295,3.825192698544317,31.340317312731433,46.335072691025154,20,9 p_gen values
theta,"(5,1)",39.94123301768169,4.25858239152348,31.59441153029567,48.288054505067706,20,9 p_gen values
theta,"(6,1)",43.18177877432009,4.326870236739708,34.70111311031026,51.66244443832991,20,9 p_gen values
theta,"(9,1)",36.73277270451286,3.932673397740378,29.02473284494172,44.440812564084,20,9 p_gen values
theta,"(15,1)",38.206101840964166,4.202557206197085,29.96908971681788,46.443113965110456,20,9 p_gen values
theta,"(19,1)",31.02741301205058,3.7604144563158566,23.6570006776715,38.397825346429656,20,9 p_gen values
