theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(5,1)",0.7,0.02,1,33,5,True,0.8594044642973265
"(5,1)",0.7,0.02,2,37,5,True,0.840128342462247
"(5,1)",0.7,0.02,3,28,5,True,0.8171091445427728
"(5,1)",0.7,0.02,4,24,5,True,0.8913738019169329
"(5,1)",0.7,0.02,5,18,5,True,0.8629283489096573
"(5,1)",0.7,0.02,6,33,5,True,0.8562691131498471
"(5,1)",0.7,0.02,7,38,5,True,0.8621395040853247
"(5,1)",0.7,0.02,8,29,5,True,0.7981452227693429
"(5,1)",0.7,0.02,9,26,5,True,0.8637770897832817
"(5,1)",0.7,0.02,10,18,5,True,0.8771266336691775
"(5,1)",0.7,0.02,11,42,5,True,0.836504353434376
"(5,1)",0.7,0.02,12,16,5,True,0.8996763754045307
"(5,1)",0.7,0.02,13,32,5,True,0.8387286639199529
"(5,1)",0.7,0.02,14,21,5,True,0.8722741433021807
"(5,1)",0.7,0.02,15,30,5,True,0.8450177328219322
"(5,1)",0.7,0.02,16,12,5,True,0.8949356939081571
"(5,1)",0.7,0.02,17,22,5,True,0.8997592847317744
"(5,1)",0.7,0.02,18,21,5,True,0.8664250740067951
"(5,1)",0.7,0.02,19,28,5,True,0.861980545067457
"(5,1)",0.7,0.02,20,30,5,True,0.7898554986961551
"(5,1)",0.7,0.02,21,14,5,True,0.8808777429467084
"(5,1)",0.7,0.02,22,22,5,True,0.8952045917422699
"(5,1)",0.7,0.02,23,20,5,True,0.8426709731916601
"(5,1)",0.7,0.02,24,23,5,True,0.8445337995337995
"(5,1)",0.7,0.02,25,70,1,False,0.36213696844813525
"(5,1)",0.7,0.02,26,40,5,True,0.8303028299391695
"(5,1)",0.7,0.02,27,18,5,True,0.8901846723353326
"(5,1)",0.7,0.02,28,25,5,True,0.8575757575757575
"(5,1)",0.7,0.02,29,7,5,True,0.9025974025974026
"(5,1)",0.7,0.02,30,40,5,True,0.8004182754013938
"(5,1)",0.7,0.02,31,61,5,True,0.7547683923705721
"(5,1)",0.7,0.02,32,26,5,True,0.8746338605741065
"(5,1)",0.7,0.02,33,26,5,True,0.8349036965620001
"(5,1)",0.7,0.02,34,39,5,True,0.7681688248352999
"(5,1)",0.7,0.02,35,24,5,True,0.8843749999999999
"(5,1)",0.7,0.02,36,36,5,True,0.877569348697775
"(5,1)",0.7,0.02,37,34,5,True,0.8765432098765432
"(5,1)",0.7,0.02,38,31,5,True,0.867123319105971
"(5,1)",0.7,0.02,39,17,5,True,0.8836477987421383
"(5,1)",0.7,0.02,40,28,5,True,0.8631493764763937
"(5,1)",0.7,0.02,41,16,5,True,0.8860759493670887
