theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,2)",0.9,0.02,1,59,5,True,0.5870897542708441
"(1,2)",0.9,0.02,2,21,5,True,0.7117117117117117
"(1,2)",0.9,0.02,3,54,5,True,0.5555555555555555
"(1,2)",0.9,0.02,4,70,3,False,0.32763058740267126
"(1,2)",0.9,0.02,5,29,5,True,0.653825752411311
"(1,2)",0.9,0.02,6,60,5,True,0.6291033475861239
"(1,2)",0.9,0.02,7,53,5,True,0.6555462143688214
"(1,2)",0.9,0.02,8,70,0,False,0.08427862492120622
"(1,2)",0.9,0.02,9,20,5,True,0.7066052699073352
"(1,2)",0.9,0.02,10,30,5,True,0.6772419627749576
"(1,2)",0.9,0.02,11,70,2,False,0.31742769486266315
"(1,2)",0.9,0.02,12,70,1,False,0.23405678881030806
"(1,2)",0.9,0.02,13,28,5,True,0.6454037265458703
"(1,2)",0.9,0.02,14,70,0,False,0.08821277327648155
"(1,2)",0.9,0.02,15,70,0,False,0.08422695510409742
"(1,2)",0.9,0.02,16,70,1,False,0.17903036068028919
"(1,2)",0.9,0.02,17,70,1,False,0.19055436216584593
"(1,2)",0.9,0.02,18,70,1,False,0.18182130652427458
"(1,2)",0.9,0.02,19,70,0,False,0.08465471841490234
"(1,2)",0.9,0.02,20,70,3,False,0.35598494199535935
"(1,2)",0.9,0.02,21,70,1,False,0.15941823369153163
"(1,2)",0.9,0.02,22,70,0,False,0.0728567214891834
"(1,2)",0.9,0.02,23,12,5,True,0.7155963302752293
"(1,2)",0.9,0.02,24,18,5,True,0.7077625570776256
"(1,2)",0.9,0.02,25,70,1,False,0.16723018678526066
"(1,2)",0.9,0.02,26,24,5,True,0.6162214854434751
"(1,2)",0.9,0.02,27,23,5,True,0.6840195811549391
"(1,2)",0.9,0.02,28,27,5,True,0.6781115879828326
"(1,2)",0.9,0.02,29,70,1,False,0.1644449553300508
"(1,2)",0.9,0.02,30,16,5,True,0.7239819004524887
"(1,2)",0.9,0.02,31,61,5,True,0.5689560703795706
"(1,2)",0.9,0.02,32,55,5,True,0.6250000000000001
"(1,2)",0.9,0.02,33,70,4,False,0.4095981737465767
"(1,2)",0.9,0.02,34,20,5,True,0.6665801346951061
"(1,2)",0.9,0.02,35,27,5,True,0.6283746460294405
"(1,2)",0.9,0.02,36,70,0,False,0.08825360850057945
"(1,2)",0.9,0.02,37,70,2,False,0.33658691714780165
"(1,2)",0.9,0.02,38,24,5,True,0.6704132090142458
"(1,2)",0.9,0.02,39,27,5,True,0.634382102826969
"(1,2)",0.9,0.02,40,70,1,False,0.16765198703541176
"(1,2)",0.9,0.02,41,35,5,True,0.600005295018764
"(1,2)",0.9,0.02,42,70,1,False,0.15350675370507838
"(1,2)",0.9,0.02,43,70,0,False,0.08425462926224556
"(1,2)",0.9,0.02,44,18,5,True,0.6753246753246753
"(1,2)",0.9,0.02,45,70,0,False,0.0819074259063774
"(1,2)",0.9,0.02,46,70,1,False,0.1634165489032392
"(1,2)",0.9,0.02,47,70,1,False,0.1725132883817479
"(1,2)",0.9,0.02,48,13,5,True,0.6975506767753284
"(1,2)",0.9,0.02,49,65,5,True,0.6408163265306122
"(1,2)",0.9,0.02,50,70,1,False,0.17552645789395965
"(1,2)",0.9,0.02,51,31,5,True,0.685589519650655
"(1,2)",0.9,0.02,52,70,3,False,0.37443914595026767
"(1,2)",0.9,0.02,53,22,5,True,0.6448041244332688
"(1,2)",0.9,0.02,54,37,5,True,0.703483371559633
"(1,2)",0.9,0.02,55,22,5,True,0.6638297872340425
"(1,2)",0.9,0.02,56,16,5,True,0.6633471200873691
"(1,2)",0.9,0.02,57,70,2,False,0.3739564670453246
"(1,2)",0.9,0.02,58,26,5,True,0.6476831153637239
"(1,2)",0.9,0.02,59,62,5,True,0.559814183600886
"(1,2)",0.9,0.02,60,70,1,False,0.2640383931004004
"(1,2)",0.9,0.02,61,21,5,True,0.6665546807129533
"(1,2)",0.9,0.02,62,24,5,True,0.7004405286343612
"(1,2)",0.9,0.02,63,10,5,True,0.7098132044286083
"(1,2)",0.9,0.02,64,70,1,False,0.19603326728651274
"(1,2)",0.9,0.02,65,70,0,False,0.08163678710467939
"(1,2)",0.9,0.02,66,70,1,False,0.1549817161088321
"(1,2)",0.9,0.02,67,20,5,True,0.6625847590068652
"(1,2)",0.9,0.02,68,66,5,True,0.6462991996039278
"(1,2)",0.9,0.02,69,33,5,True,0.6708333333333333
"(1,2)",0.9,0.02,70,32,5,True,0.6783539972448119
"(1,2)",0.9,0.02,71,13,5,True,0.6948402566802822
"(1,2)",0.9,0.02,72,45,5,True,0.5934791081025275
"(1,2)",0.9,0.02,73,70,2,False,0.22307728414170727
"(1,2)",0.9,0.02,74,70,0,False,0.08079361880764915
"(1,2)",0.9,0.02,75,70,2,False,0.24447986452519
"(1,2)",0.9,0.02,76,33,5,True,0.6649393890202481
"(1,2)",0.9,0.02,77,70,1,False,0.17336844013939778
"(1,2)",0.9,0.02,78,70,2,False,0.2552011475647664
"(1,2)",0.9,0.02,79,38,5,True,0.6539749614504587
"(1,2)",0.9,0.02,80,70,2,False,0.20011114159862362
"(1,2)",0.9,0.02,81,27,5,True,0.649758011133217
"(1,2)",0.9,0.02,82,70,0,False,0.08265047898815567
"(1,2)",0.9,0.02,83,66,5,True,0.5401460883298549
"(1,2)",0.9,0.02,84,35,5,True,0.645585669016051
"(1,2)",0.9,0.02,85,13,5,True,0.726027397260274
"(1,2)",0.9,0.02,86,30,5,True,0.6460560559758388
"(1,2)",0.9,0.02,87,60,5,True,0.660378159026709
"(1,2)",0.9,0.02,88,23,5,True,0.6922914664729183
"(1,2)",0.9,0.02,89,22,5,True,0.6492179099324301
"(1,2)",0.9,0.02,90,30,5,True,0.6471541009941424
"(1,2)",0.9,0.02,91,70,0,False,0.08625410777196017
"(1,2)",0.9,0.02,92,70,3,False,0.3587428242773963
"(1,2)",0.9,0.02,93,70,2,False,0.3589367511816169
"(1,2)",0.9,0.02,94,20,5,True,0.655967744215543
"(1,2)",0.9,0.02,95,70,2,False,0.2517332038374804
"(1,2)",0.9,0.02,96,70,1,False,0.1729720241938229
"(1,2)",0.9,0.02,97,70,1,False,0.16757520165218986
"(1,2)",0.9,0.02,98,70,0,False,0.07973792899575464
"(1,2)",0.9,0.02,99,48,5,True,0.6328754189630393
"(1,2)",0.9,0.02,100,36,5,True,0.6720181212450002
