theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(2,1)",0.2,0.02,1,70,1,False,0.1805533121825192
"(2,1)",0.2,0.02,2,14,5,True,0.8506787330316742
"(2,1)",0.2,0.02,3,24,5,True,0.8003178874640812
"(2,1)",0.2,0.02,4,14,5,True,0.8311091456692024
"(2,1)",0.2,0.02,5,16,5,True,0.8560085265121237
"(2,1)",0.2,0.02,6,17,5,True,0.8145959152702598
"(2,1)",0.2,0.02,7,70,2,False,0.3412519926941106
"(2,1)",0.2,0.02,8,23,5,True,0.8340198723207983
"(2,1)",0.2,0.02,9,20,5,True,0.8482142857142857
"(2,1)",0.2,0.02,10,11,5,True,0.8474611095135893
"(2,1)",0.2,0.02,11,16,5,True,0.8440378500542406
"(2,1)",0.2,0.02,12,17,5,True,0.8399825831227251
"(2,1)",0.2,0.02,13,13,5,True,0.8373554636977049
"(2,1)",0.2,0.02,14,19,5,True,0.84133097490475
"(2,1)",0.2,0.02,15,26,5,True,0.8389474456326905
"(2,1)",0.2,0.02,16,20,5,True,0.781350114999819
"(2,1)",0.2,0.02,17,11,5,True,0.8570130813953488
"(2,1)",0.2,0.02,18,18,5,True,0.817391304347826
"(2,1)",0.2,0.02,19,49,5,True,0.8242236749941629
"(2,1)",0.2,0.02,20,31,5,True,0.8314849747726167
"(2,1)",0.2,0.02,21,51,5,True,0.8244381296822527
"(2,1)",0.2,0.02,22,19,5,True,0.7844092506432312
"(2,1)",0.2,0.02,23,18,5,True,0.8333333333333334
"(2,1)",0.2,0.02,24,20,5,True,0.8355555555555555
"(2,1)",0.2,0.02,25,27,5,True,0.7707108142400464
"(2,1)",0.2,0.02,26,70,4,False,0.3869409804331072
"(2,1)",0.2,0.02,27,29,5,True,0.7470594995510799
"(2,1)",0.2,0.02,28,20,5,True,0.8313032937060048
"(2,1)",0.2,0.02,29,14,5,True,0.825770239802382
"(2,1)",0.2,0.02,30,21,5,True,0.8085370907583921
"(2,1)",0.2,0.02,31,20,5,True,0.8295401867932555
"(2,1)",0.2,0.02,32,70,1,False,0.11121697029662472
"(2,1)",0.2,0.02,33,16,5,True,0.8545454545454546
"(2,1)",0.2,0.02,34,70,1,False,0.11006949924950012
"(2,1)",0.2,0.02,35,15,5,True,0.8454545454545455
"(2,1)",0.2,0.02,36,15,5,True,0.842608725883114
"(2,1)",0.2,0.02,37,23,5,True,0.7850833012412642
"(2,1)",0.2,0.02,38,27,5,True,0.834233678036734
"(2,1)",0.2,0.02,39,12,5,True,0.8617511520737328
"(2,1)",0.2,0.02,40,46,5,True,0.6635039895923157
"(2,1)",0.2,0.02,41,20,5,True,0.8623853211009175
"(2,1)",0.2,0.02,42,25,5,True,0.8061724834150562
"(2,1)",0.2,0.02,43,15,5,True,0.8545454545454546
"(2,1)",0.2,0.02,44,70,3,False,0.08064516129032258
"(2,1)",0.2,0.02,45,16,5,True,0.7807771474783454
"(2,1)",0.2,0.02,46,52,5,True,0.7509881422924901
"(2,1)",0.2,0.02,47,26,5,True,0.7732002013760697
"(2,1)",0.2,0.02,48,21,5,True,0.8504275059123159
"(2,1)",0.2,0.02,49,70,2,False,0.26450070678914556
"(2,1)",0.2,0.02,50,20,5,True,0.8456132671919074
"(2,1)",0.2,0.02,51,24,5,True,0.8045592931573712
"(2,1)",0.2,0.02,52,22,5,True,0.8293310463121784
"(2,1)",0.2,0.02,53,23,5,True,0.803850156087409
"(2,1)",0.2,0.02,54,17,5,True,0.7933231885948564
"(2,1)",0.2,0.02,55,70,1,False,0.1111111111111111
"(2,1)",0.2,0.02,56,49,5,True,0.8476313694267514
"(2,1)",0.2,0.02,57,10,5,True,0.8617511520737328
"(2,1)",0.2,0.02,58,26,5,True,0.8433248475852102
"(2,1)",0.2,0.02,59,70,2,False,0.3634709909467626
"(2,1)",0.2,0.02,60,17,5,True,0.8617511520737328
"(2,1)",0.2,0.02,61,15,5,True,0.8426649251959614
"(2,1)",0.2,0.02,62,12,5,True,0.8648648648648649
"(2,1)",0.2,0.02,63,44,5,True,0.7997998943916839
"(2,1)",0.2,0.02,64,15,5,True,0.8149779735682819
"(2,1)",0.2,0.02,65,19,5,True,0.8413868490421698
"(2,1)",0.2,0.02,66,30,5,True,0.7862454717513911
"(2,1)",0.2,0.02,67,61,5,True,0.8217920362741606
"(2,1)",0.2,0.02,68,20,5,True,0.78099173553719
"(2,1)",0.2,0.02,69,25,5,True,0.7648729349655221
"(2,1)",0.2,0.02,70,15,5,True,0.8468468468468467
"(2,1)",0.2,0.02,71,70,1,False,0.10913336023184732
"(2,1)",0.2,0.02,72,59,5,True,0.8189655172413792
"(2,1)",0.2,0.02,73,16,5,True,0.8313032937060048
"(2,1)",0.2,0.02,74,29,5,True,0.7965123687495709
"(2,1)",0.2,0.02,75,15,5,True,0.8317997465360059
"(2,1)",0.2,0.02,76,16,5,True,0.8269109318009695
"(2,1)",0.2,0.02,77,13,5,True,0.8161848161102587
"(2,1)",0.2,0.02,78,15,5,True,0.8158226754386985
"(2,1)",0.2,0.02,79,12,5,True,0.8611111111111112
"(2,1)",0.2,0.02,80,16,5,True,0.8514060579773007
"(2,1)",0.2,0.02,81,29,5,True,0.7560975609756099
"(2,1)",0.2,0.02,82,20,5,True,0.8284489988217151
