theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,3)",0.7,0.02,1,0.54,0.46,0.0,0.0,0.0,0.0
"(1,3)",0.7,0.02,2,0.35,0.63,0.02,0.0,0.0,0.0
"(1,3)",0.7,0.02,3,0.25,0.69,0.06,0.0,0.0,0.0
"(1,3)",0.7,0.02,4,0.19,0.7,0.11,0.0,0.0,0.0
"(1,3)",0.7,0.02,5,0.15,0.67,0.17,0.01,0.0,0.0
"(1,3)",0.7,0.02,6,0.13,0.62,0.22,0.03,0.0,0.0
"(1,3)",0.7,0.02,7,0.11,0.6,0.22,0.07,0.0,0.0
"(1,3)",0.7,0.02,8,0.11,0.54,0.23,0.12,0.0,0.0
"(1,3)",0.7,0.02,9,0.1,0.52,0.23,0.13,0.02,0.0
"(1,3)",0.7,0.02,10,0.08,0.51,0.24,0.15,0.02,0.0
"(1,3)",0.7,0.02,11,0.06,0.45,0.29,0.15,0.05,0.0
"(1,3)",0.7,0.02,12,0.06,0.41,0.27,0.21,0.05,0.0
"(1,3)",0.7,0.02,13,0.05,0.4,0.26,0.21,0.07,0.01
"(1,3)",0.7,0.02,14,0.05,0.37,0.28,0.2,0.08,0.02
"(1,3)",0.7,0.02,15,0.04,0.35,0.28,0.19,0.12,0.02
"(1,3)",0.7,0.02,16,0.03,0.33,0.29,0.2,0.11,0.04
"(1,3)",0.7,0.02,17,0.03,0.3,0.29,0.2,0.12,0.06
"(1,3)",0.7,0.02,18,0.02,0.3,0.27,0.22,0.1,0.09
"(1,3)",0.7,0.02,19,0.02,0.3,0.25,0.23,0.08,0.12
"(1,3)",0.7,0.02,20,0.02,0.3,0.21,0.24,0.1,0.13
"(1,3)",0.7,0.02,21,0.02,0.3,0.2,0.22,0.13,0.13
"(1,3)",0.7,0.02,22,0.02,0.3,0.2,0.19,0.15,0.14
"(1,3)",0.7,0.02,23,0.02,0.28,0.2,0.17,0.16,0.17
"(1,3)",0.7,0.02,24,0.02,0.27,0.18,0.19,0.13,0.21
"(1,3)",0.7,0.02,25,0.02,0.27,0.18,0.17,0.12,0.24
"(1,3)",0.7,0.02,26,0.01,0.26,0.2,0.17,0.09,0.27
"(1,3)",0.7,0.02,27,0.01,0.26,0.19,0.16,0.11,0.27
"(1,3)",0.7,0.02,28,0.01,0.25,0.2,0.15,0.09,0.3
"(1,3)",0.7,0.02,29,0.01,0.24,0.2,0.16,0.08,0.31
"(1,3)",0.7,0.02,30,0.01,0.24,0.19,0.15,0.07,0.34
"(1,3)",0.7,0.02,31,0.01,0.24,0.17,0.14,0.07,0.37
"(1,3)",0.7,0.02,32,0.01,0.24,0.17,0.12,0.08,0.38
"(1,3)",0.7,0.02,33,0.01,0.24,0.17,0.1,0.09,0.39
"(1,3)",0.7,0.02,34,0.01,0.24,0.17,0.1,0.07,0.41
"(1,3)",0.7,0.02,35,0.01,0.24,0.16,0.09,0.06,0.44
"(1,3)",0.7,0.02,36,0.01,0.24,0.15,0.09,0.07,0.44
"(1,3)",0.7,0.02,37,0.01,0.24,0.14,0.1,0.06,0.45
"(1,3)",0.7,0.02,38,0.01,0.23,0.14,0.11,0.05,0.46
"(1,3)",0.7,0.02,39,0.01,0.23,0.13,0.1,0.06,0.47
"(1,3)",0.7,0.02,40,0.01,0.23,0.13,0.1,0.06,0.47
"(1,3)",0.7,0.02,41,0.01,0.23,0.13,0.1,0.05,0.48
"(1,3)",0.7,0.02,42,0.01,0.23,0.13,0.1,0.02,0.51
"(1,3)",0.7,0.02,43,0.01,0.23,0.13,0.09,0.03,0.51
"(1,3)",0.7,0.02,44,0.01,0.23,0.13,0.08,0.04,0.51
"(1,3)",0.7,0.02,45,0.01,0.23,0.13,0.08,0.04,0.51
"(1,3)",0.7,0.02,46,0.01,0.22,0.13,0.08,0.04,0.52
"(1,3)",0.7,0.02,47,0.01,0.22,0.13,0.08,0.02,0.54
"(1,3)",0.7,0.02,48,0.01,0.2,0.15,0.08,0.02,0.54
"(1,3)",0.7,0.02,49,0.01,0.2,0.15,0.07,0.03,0.54
"(1,3)",0.7,0.02,50,0.01,0.2,0.15,0.06,0.04,0.54
"(1,3)",0.7,0.02,51,0.01,0.2,0.15,0.06,0.04,0.54
"(1,3)",0.7,0.02,52,0.01,0.2,0.15,0.05,0.05,0.54
"(1,3)",0.7,0.02,53,0.01,0.2,0.15,0.05,0.03,0.56
"(1,3)",0.7,0.02,54,0.01,0.2,0.15,0.05,0.03,0.56
"(1,3)",0.7,0.02,55,0.01,0.2,0.15,0.05,0.02,0.57
"(1,3)",0.7,0.02,56,0.01,0.2,0.15,0.05,0.02,0.57
"(1,3)",0.7,0.02,57,0.01,0.2,0.14,0.06,0.02,0.57
"(1,3)",0.7,0.02,58,0.01,0.2,0.14,0.06,0.01,0.58
"(1,3)",0.7,0.02,59,0.01,0.2,0.14,0.05,0.02,0.58
"(1,3)",0.7,0.02,60,0.01,0.19,0.15,0.05,0.02,0.58
"(1,3)",0.7,0.02,61,0.01,0.19,0.15,0.05,0.02,0.58
"(1,3)",0.7,0.02,62,0.01,0.19,0.15,0.05,0.02,0.58
"(1,3)",0.7,0.02,63,0.01,0.19,0.15,0.05,0.01,0.59
"(1,3)",0.7,0.02,64,0.01,0.19,0.15,0.05,0.01,0.59
"(1,3)",0.7,0.02,65,0.01,0.19,0.15,0.05,0.01,0.59
"(1,3)",0.7,0.02,66,0.01,0.19,0.15,0.05,0.01,0.59
"(1,3)",0.7,0.02,67,0.01,0.19,0.15,0.05,0.01,0.59
"(1,3)",0.7,0.02,68,0.01,0.19,0.14,0.06,0.01,0.59
"(1,3)",0.7,0.02,69,0.01,0.19,0.14,0.06,0.01,0.59
"(1,3)",0.7,0.02,70,0.01,0.19,0.14,0.06,0.01,0.59
