theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,2)",0.8,0.02,1,0.55,0.45,0.0,0.0,0.0,0.0
"(1,2)",0.8,0.02,2,0.4,0.55,0.05,0.0,0.0,0.0
"(1,2)",0.8,0.02,3,0.31,0.53,0.16,0.0,0.0,0.0
"(1,2)",0.8,0.02,4,0.26,0.51,0.23,0.0,0.0,0.0
"(1,2)",0.8,0.02,5,0.24,0.45,0.26,0.05,0.0,0.0
"(1,2)",0.8,0.02,6,0.22,0.41,0.31,0.06,0.0,0.0
"(1,2)",0.8,0.02,7,0.18,0.39,0.32,0.11,0.0,0.0
"(1,2)",0.8,0.02,8,0.17,0.34,0.37,0.11,0.01,0.0
"(1,2)",0.8,0.02,9,0.15,0.34,0.31,0.19,0.01,0.0
"(1,2)",0.8,0.02,10,0.14,0.28,0.36,0.19,0.03,0.0
"(1,2)",0.8,0.02,11,0.13,0.26,0.33,0.22,0.06,0.0
"(1,2)",0.8,0.02,12,0.13,0.22,0.33,0.24,0.06,0.02
"(1,2)",0.8,0.02,13,0.13,0.18,0.34,0.26,0.07,0.02
"(1,2)",0.8,0.02,14,0.12,0.19,0.3,0.25,0.11,0.03
"(1,2)",0.8,0.02,15,0.12,0.18,0.26,0.23,0.18,0.03
"(1,2)",0.8,0.02,16,0.12,0.18,0.25,0.2,0.18,0.07
"(1,2)",0.8,0.02,17,0.09,0.2,0.23,0.22,0.13,0.13
"(1,2)",0.8,0.02,18,0.08,0.19,0.21,0.24,0.12,0.16
"(1,2)",0.8,0.02,19,0.08,0.16,0.24,0.19,0.15,0.18
"(1,2)",0.8,0.02,20,0.08,0.16,0.22,0.18,0.13,0.23
"(1,2)",0.8,0.02,21,0.08,0.16,0.21,0.18,0.11,0.26
"(1,2)",0.8,0.02,22,0.08,0.15,0.22,0.13,0.13,0.29
"(1,2)",0.8,0.02,23,0.07,0.16,0.2,0.12,0.16,0.29
"(1,2)",0.8,0.02,24,0.07,0.16,0.18,0.14,0.13,0.32
