theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(19,1)",0.4,0.02,1,0.86,0.14,0.0,0.0,0.0,0.0
"(19,1)",0.4,0.02,2,0.48,0.52,0.0,0.0,0.0,0.0
"(19,1)",0.4,0.02,3,0.34,0.44,0.22,0.0,0.0,0.0
"(19,1)",0.4,0.02,4,0.26,0.39,0.24,0.11,0.0,0.0
"(19,1)",0.4,0.02,5,0.18,0.38,0.21,0.22,0.01,0.0
"(19,1)",0.4,0.02,6,0.18,0.29,0.24,0.27,0.02,0.0
"(19,1)",0.4,0.02,7,0.14,0.31,0.23,0.25,0.06,0.01
"(19,1)",0.4,0.02,8,0.13,0.28,0.23,0.23,0.09,0.04
"(19,1)",0.4,0.02,9,0.11,0.2,0.31,0.24,0.07,0.07
"(19,1)",0.4,0.02,10,0.11,0.18,0.27,0.27,0.1,0.07
"(19,1)",0.4,0.02,11,0.11,0.14,0.24,0.31,0.12,0.08
"(19,1)",0.4,0.02,12,0.11,0.12,0.22,0.29,0.15,0.11
"(19,1)",0.4,0.02,13,0.08,0.13,0.16,0.32,0.16,0.15
"(19,1)",0.4,0.02,14,0.05,0.13,0.15,0.3,0.2,0.17
"(19,1)",0.4,0.02,15,0.05,0.1,0.14,0.27,0.26,0.18
"(19,1)",0.4,0.02,16,0.04,0.09,0.13,0.26,0.23,0.25
"(19,1)",0.4,0.02,17,0.03,0.06,0.11,0.26,0.24,0.3
"(19,1)",0.4,0.02,18,0.02,0.05,0.11,0.22,0.26,0.34
"(19,1)",0.4,0.02,19,0.02,0.04,0.09,0.22,0.26,0.37
"(19,1)",0.4,0.02,20,0.02,0.04,0.08,0.18,0.22,0.46
"(19,1)",0.4,0.02,21,0.01,0.03,0.1,0.12,0.17,0.57
"(19,1)",0.4,0.02,22,0.01,0.01,0.09,0.1,0.19,0.6
"(19,1)",0.4,0.02,23,0.01,0.01,0.05,0.1,0.17,0.66
"(19,1)",0.4,0.02,24,0.01,0.01,0.03,0.09,0.18,0.68
"(19,1)",0.4,0.02,25,0.0,0.02,0.02,0.09,0.1,0.77
"(19,1)",0.4,0.02,26,0.0,0.01,0.02,0.1,0.07,0.8
"(19,1)",0.4,0.02,27,0.0,0.0,0.02,0.06,0.11,0.81
"(19,1)",0.4,0.02,28,0.0,0.0,0.01,0.06,0.08,0.85
"(19,1)",0.4,0.02,29,0.0,0.0,0.01,0.04,0.07,0.88
"(19,1)",0.4,0.02,30,0.0,0.0,0.01,0.03,0.04,0.92
"(19,1)",0.4,0.02,31,0.0,0.0,0.01,0.03,0.03,0.93
"(19,1)",0.4,0.02,32,0.0,0.0,0.01,0.03,0.02,0.94
"(19,1)",0.4,0.02,33,0.0,0.0,0.01,0.03,0.02,0.94
"(19,1)",0.4,0.02,34,0.0,0.0,0.0,0.04,0.0,0.96
"(19,1)",0.4,0.02,35,0.0,0.0,0.0,0.02,0.02,0.96
"(19,1)",0.4,0.02,36,0.0,0.0,0.0,0.02,0.02,0.96
"(19,1)",0.4,0.02,37,0.0,0.0,0.0,0.01,0.02,0.97
"(19,1)",0.4,0.02,38,0.0,0.0,0.0,0.0,0.02,0.98
"(19,1)",0.4,0.02,39,0.0,0.0,0.0,0.0,0.02,0.98
"(19,1)",0.4,0.02,40,0.0,0.0,0.0,0.0,0.01,0.99
"(19,1)",0.4,0.02,41,0.0,0.0,0.0,0.0,0.01,0.99
"(19,1)",0.4,0.02,42,0.0,0.0,0.0,0.0,0.01,0.99
"(19,1)",0.4,0.02,43,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,44,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,45,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,46,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,47,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,48,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,49,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,50,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,51,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,52,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,53,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,54,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,55,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,56,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,57,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,58,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,59,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,60,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,61,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,62,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,63,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,64,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,65,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,66,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,67,0.0,0.0,0.0,0.0,0.0,1.0
"(19,1)",0.4,0.02,68,0.0,0.0,0.0,0.0,0.0,1.0
