theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,2)",0.1,0.02,1,1.0,0.0,0.0,0.0,0.0,0.0
"(1,2)",0.1,0.02,2,0.98,0.02,0.0,0.0,0.0,0.0
"(1,2)",0.1,0.02,3,0.98,0.0,0.02,0.0,0.0,0.0
"(1,2)",0.1,0.02,4,0.97,0.01,0.01,0.01,0.0,0.0
"(1,2)",0.1,0.02,5,0.95,0.03,0.0,0.02,0.0,0.0
"(1,2)",0.1,0.02,6,0.92,0.03,0.03,0.02,0.0,0.0
"(1,2)",0.1,0.02,7,0.91,0.03,0.03,0.03,0.0,0.0
"(1,2)",0.1,0.02,8,0.89,0.04,0.03,0.04,0.0,0.0
"(1,2)",0.1,0.02,9,0.87,0.06,0.02,0.03,0.02,0.0
"(1,2)",0.1,0.02,10,0.86,0.04,0.04,0.03,0.02,0.01
"(1,2)",0.1,0.02,11,0.84,0.04,0.02,0.06,0.02,0.02
"(1,2)",0.1,0.02,12,0.82,0.03,0.05,0.03,0.05,0.02
"(1,2)",0.1,0.02,13,0.8,0.03,0.06,0.04,0.02,0.05
"(1,2)",0.1,0.02,14,0.79,0.03,0.04,0.05,0.03,0.06
"(1,2)",0.1,0.02,15,0.77,0.03,0.04,0.06,0.04,0.06
"(1,2)",0.1,0.02,16,0.73,0.05,0.05,0.06,0.02,0.09
"(1,2)",0.1,0.02,17,0.69,0.06,0.04,0.08,0.03,0.1
"(1,2)",0.1,0.02,18,0.63,0.11,0.03,0.06,0.05,0.12
"(1,2)",0.1,0.02,19,0.62,0.08,0.06,0.05,0.05,0.14
"(1,2)",0.1,0.02,20,0.6,0.08,0.05,0.08,0.03,0.16
"(1,2)",0.1,0.02,21,0.55,0.11,0.05,0.06,0.06,0.17
"(1,2)",0.1,0.02,22,0.52,0.09,0.08,0.06,0.04,0.21
"(1,2)",0.1,0.02,23,0.52,0.08,0.05,0.07,0.03,0.25
"(1,2)",0.1,0.02,24,0.48,0.11,0.03,0.08,0.02,0.28
"(1,2)",0.1,0.02,25,0.47,0.1,0.03,0.05,0.06,0.29
"(1,2)",0.1,0.02,26,0.45,0.1,0.04,0.04,0.04,0.33
"(1,2)",0.1,0.02,27,0.39,0.14,0.05,0.04,0.04,0.34
"(1,2)",0.1,0.02,28,0.38,0.12,0.05,0.05,0.06,0.34
"(1,2)",0.1,0.02,29,0.38,0.1,0.06,0.05,0.05,0.36
"(1,2)",0.1,0.02,30,0.36,0.1,0.05,0.06,0.06,0.37
"(1,2)",0.1,0.02,31,0.36,0.08,0.06,0.05,0.06,0.39
"(1,2)",0.1,0.02,32,0.35,0.07,0.06,0.05,0.03,0.44
"(1,2)",0.1,0.02,33,0.33,0.07,0.03,0.08,0.04,0.45
"(1,2)",0.1,0.02,34,0.32,0.07,0.02,0.08,0.03,0.48
"(1,2)",0.1,0.02,35,0.32,0.05,0.03,0.04,0.06,0.5
"(1,2)",0.1,0.02,36,0.31,0.06,0.03,0.04,0.0,0.56
"(1,2)",0.1,0.02,37,0.3,0.05,0.04,0.03,0.02,0.56
"(1,2)",0.1,0.02,38,0.29,0.04,0.05,0.03,0.02,0.57
"(1,2)",0.1,0.02,39,0.29,0.04,0.04,0.03,0.02,0.58
"(1,2)",0.1,0.02,40,0.28,0.05,0.02,0.05,0.02,0.58
"(1,2)",0.1,0.02,41,0.27,0.06,0.01,0.05,0.03,0.58
"(1,2)",0.1,0.02,42,0.26,0.06,0.02,0.04,0.03,0.59
"(1,2)",0.1,0.02,43,0.25,0.06,0.03,0.04,0.0,0.62
"(1,2)",0.1,0.02,44,0.25,0.04,0.04,0.05,0.0,0.62
"(1,2)",0.1,0.02,45,0.25,0.04,0.04,0.02,0.03,0.62
"(1,2)",0.1,0.02,46,0.25,0.04,0.01,0.05,0.02,0.63
"(1,2)",0.1,0.02,47,0.24,0.05,0.01,0.03,0.02,0.65
"(1,2)",0.1,0.02,48,0.22,0.07,0.01,0.02,0.01,0.67
"(1,2)",0.1,0.02,49,0.22,0.07,0.0,0.03,0.0,0.68
"(1,2)",0.1,0.02,50,0.22,0.05,0.02,0.02,0.01,0.68
"(1,2)",0.1,0.02,51,0.22,0.04,0.02,0.03,0.01,0.68
"(1,2)",0.1,0.02,52,0.22,0.03,0.03,0.02,0.02,0.68
"(1,2)",0.1,0.02,53,0.22,0.03,0.01,0.04,0.01,0.69
"(1,2)",0.1,0.02,54,0.22,0.03,0.01,0.02,0.02,0.7
"(1,2)",0.1,0.02,55,0.2,0.05,0.01,0.02,0.01,0.71
"(1,2)",0.1,0.02,56,0.19,0.06,0.01,0.02,0.01,0.71
"(1,2)",0.1,0.02,57,0.18,0.07,0.01,0.02,0.0,0.72
"(1,2)",0.1,0.02,58,0.18,0.06,0.02,0.02,0.0,0.72
"(1,2)",0.1,0.02,59,0.18,0.05,0.03,0.02,0.0,0.72
"(1,2)",0.1,0.02,60,0.18,0.05,0.03,0.02,0.0,0.72
"(1,2)",0.1,0.02,61,0.18,0.05,0.02,0.03,0.0,0.72
"(1,2)",0.1,0.02,62,0.17,0.05,0.03,0.03,0.0,0.72
"(1,2)",0.1,0.02,63,0.17,0.04,0.04,0.03,0.0,0.72
"(1,2)",0.1,0.02,64,0.17,0.03,0.03,0.04,0.01,0.72
"(1,2)",0.1,0.02,65,0.15,0.04,0.03,0.03,0.02,0.73
"(1,2)",0.1,0.02,66,0.14,0.05,0.01,0.05,0.0,0.75
"(1,2)",0.1,0.02,67,0.13,0.06,0.01,0.04,0.01,0.75
"(1,2)",0.1,0.02,68,0.13,0.04,0.03,0.04,0.0,0.76
"(1,2)",0.1,0.02,69,0.13,0.04,0.01,0.04,0.02,0.76
"(1,2)",0.1,0.02,70,0.13,0.03,0.02,0.03,0.03,0.76
