theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,3)",0.4,0.02,1,0.97,0.03,0.0,0.0,0.0,0.0
"(1,3)",0.4,0.02,2,0.93,0.07,0.0,0.0,0.0,0.0
"(1,3)",0.4,0.02,3,0.86,0.14,0.0,0.0,0.0,0.0
"(1,3)",0.4,0.02,4,0.74,0.26,0.0,0.0,0.0,0.0
"(1,3)",0.4,0.02,5,0.62,0.36,0.02,0.0,0.0,0.0
"(1,3)",0.4,0.02,6,0.52,0.43,0.04,0.01,0.0,0.0
"(1,3)",0.4,0.02,7,0.34,0.6,0.04,0.02,0.0,0.0
"(1,3)",0.4,0.02,8,0.26,0.58,0.14,0.01,0.01,0.0
"(1,3)",0.4,0.02,9,0.21,0.58,0.13,0.07,0.01,0.0
"(1,3)",0.4,0.02,10,0.19,0.5,0.2,0.09,0.02,0.0
"(1,3)",0.4,0.02,11,0.15,0.46,0.23,0.14,0.02,0.0
"(1,3)",0.4,0.02,12,0.14,0.39,0.28,0.12,0.06,0.01
"(1,3)",0.4,0.02,13,0.11,0.39,0.25,0.17,0.05,0.03
"(1,3)",0.4,0.02,14,0.07,0.4,0.22,0.18,0.09,0.04
"(1,3)",0.4,0.02,15,0.05,0.36,0.24,0.19,0.11,0.05
"(1,3)",0.4,0.02,16,0.04,0.32,0.27,0.18,0.13,0.06
"(1,3)",0.4,0.02,17,0.04,0.28,0.3,0.16,0.13,0.09
"(1,3)",0.4,0.02,18,0.02,0.25,0.32,0.15,0.14,0.12
"(1,3)",0.4,0.02,19,0.01,0.26,0.26,0.17,0.15,0.15
"(1,3)",0.4,0.02,20,0.01,0.26,0.25,0.16,0.16,0.16
"(1,3)",0.4,0.02,21,0.0,0.26,0.25,0.16,0.15,0.18
"(1,3)",0.4,0.02,22,0.0,0.26,0.21,0.19,0.13,0.21
"(1,3)",0.4,0.02,23,0.0,0.25,0.21,0.17,0.15,0.22
"(1,3)",0.4,0.02,24,0.0,0.24,0.2,0.17,0.16,0.23
"(1,3)",0.4,0.02,25,0.0,0.22,0.2,0.15,0.18,0.25
"(1,3)",0.4,0.02,26,0.0,0.22,0.18,0.14,0.16,0.3
"(1,3)",0.4,0.02,27,0.0,0.21,0.18,0.12,0.16,0.33
"(1,3)",0.4,0.02,28,0.0,0.2,0.18,0.1,0.18,0.34
"(1,3)",0.4,0.02,29,0.0,0.2,0.16,0.09,0.18,0.37
"(1,3)",0.4,0.02,30,0.0,0.2,0.15,0.08,0.18,0.39
"(1,3)",0.4,0.02,31,0.0,0.2,0.14,0.09,0.14,0.43
"(1,3)",0.4,0.02,32,0.0,0.2,0.13,0.09,0.12,0.46
"(1,3)",0.4,0.02,33,0.0,0.2,0.13,0.07,0.12,0.48
"(1,3)",0.4,0.02,34,0.0,0.2,0.13,0.06,0.11,0.5
"(1,3)",0.4,0.02,35,0.0,0.2,0.12,0.06,0.11,0.51
"(1,3)",0.4,0.02,36,0.0,0.2,0.12,0.06,0.09,0.53
"(1,3)",0.4,0.02,37,0.0,0.2,0.12,0.06,0.07,0.55
"(1,3)",0.4,0.02,38,0.0,0.19,0.13,0.05,0.06,0.57
"(1,3)",0.4,0.02,39,0.0,0.17,0.14,0.05,0.06,0.58
"(1,3)",0.4,0.02,40,0.0,0.17,0.13,0.05,0.05,0.6
"(1,3)",0.4,0.02,41,0.0,0.17,0.12,0.05,0.05,0.61
"(1,3)",0.4,0.02,42,0.0,0.17,0.12,0.03,0.04,0.64
"(1,3)",0.4,0.02,43,0.0,0.16,0.13,0.03,0.03,0.65
"(1,3)",0.4,0.02,44,0.0,0.16,0.13,0.03,0.03,0.65
"(1,3)",0.4,0.02,45,0.0,0.16,0.11,0.05,0.03,0.65
"(1,3)",0.4,0.02,46,0.0,0.16,0.1,0.06,0.03,0.65
"(1,3)",0.4,0.02,47,0.0,0.16,0.1,0.05,0.03,0.66
"(1,3)",0.4,0.02,48,0.0,0.16,0.1,0.04,0.04,0.66
"(1,3)",0.4,0.02,49,0.0,0.16,0.1,0.04,0.04,0.66
"(1,3)",0.4,0.02,50,0.0,0.16,0.1,0.04,0.03,0.67
"(1,3)",0.4,0.02,51,0.0,0.16,0.1,0.04,0.03,0.67
"(1,3)",0.4,0.02,52,0.0,0.16,0.1,0.04,0.02,0.68
"(1,3)",0.4,0.02,53,0.0,0.16,0.1,0.04,0.02,0.68
"(1,3)",0.4,0.02,54,0.0,0.16,0.1,0.04,0.02,0.68
"(1,3)",0.4,0.02,55,0.0,0.16,0.1,0.04,0.02,0.68
"(1,3)",0.4,0.02,56,0.0,0.16,0.1,0.04,0.02,0.68
"(1,3)",0.4,0.02,57,0.0,0.15,0.1,0.05,0.02,0.68
"(1,3)",0.4,0.02,58,0.0,0.14,0.11,0.04,0.02,0.69
"(1,3)",0.4,0.02,59,0.0,0.14,0.11,0.04,0.02,0.69
"(1,3)",0.4,0.02,60,0.0,0.14,0.11,0.03,0.03,0.69
"(1,3)",0.4,0.02,61,0.0,0.14,0.11,0.03,0.02,0.7
"(1,3)",0.4,0.02,62,0.0,0.14,0.11,0.03,0.02,0.7
"(1,3)",0.4,0.02,63,0.0,0.14,0.11,0.03,0.02,0.7
"(1,3)",0.4,0.02,64,0.0,0.14,0.11,0.02,0.03,0.7
"(1,3)",0.4,0.02,65,0.0,0.14,0.11,0.02,0.03,0.7
"(1,3)",0.4,0.02,66,0.0,0.14,0.11,0.02,0.01,0.72
"(1,3)",0.4,0.02,67,0.0,0.14,0.11,0.02,0.01,0.72
"(1,3)",0.4,0.02,68,0.0,0.13,0.12,0.02,0.01,0.72
"(1,3)",0.4,0.02,69,0.0,0.13,0.12,0.02,0.01,0.72
"(1,3)",0.4,0.02,70,0.0,0.13,0.12,0.02,0.01,0.72
