run_number,number_of_trials_used,solved
1,17,True
2,9,True
3,17,True
4,13,True
5,16,True
6,24,True
7,15,True
8,26,True
9,13,True
10,28,True
11,12,True
12,10,True
13,22,True
14,14,True
15,22,True
16,10,True
17,23,True
18,17,True
19,42,True
20,23,True
