profile,value,mean_aic,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,1094.4679672130492,65.24985762209549,966.578246273742,1222.3576881523563,20,11 theta values
p_gen,0.2,1002.8356670261364,63.53396551266412,878.3090946213148,1127.3622394309582,20,11 theta values
p_gen,0.3,729.0544385237044,46.193600011988266,638.5149825002075,819.5938945472014,20,11 theta values
p_gen,0.4,612.541007573944,43.320134285485715,527.6335443743919,697.448470773496,20,11 theta values
p_gen,0.5,579.6412735808525,47.90424290166973,485.74895749357984,673.5335896681252,20,11 theta values
p_gen,0.6,645.8172434942855,48.76049170442816,550.2466797536064,741.3878072349647,20,11 theta values
p_gen,0.7,497.3837161798712,43.03291471749981,413.0392033335716,581.7282290261709,20,11 theta values
p_gen,0.8,511.2269091643183,42.620566687132595,427.6905984575384,594.7632198710982,20,11 theta values
p_gen,0.9,432.84534356297445,35.36043879887671,363.5388835171761,502.1518036087728,20,11 theta values
theta,"(1,1)",259.375365742404,12.60868442657992,234.66234426630734,284.0883872185006,20,9 p_gen values
theta,"(1,2)",224.96362558802258,9.820012229514136,205.71640161817487,244.2108495578703,20,9 p_gen values
theta,"(1,3)",213.1054824821086,9.894989135439904,193.7113037766464,232.49966118757084,20,9 p_gen values
theta,"(2,1)",305.4841749660401,14.834385298345204,276.4087797812835,334.5595701507967,20,9 p_gen values
theta,"(3,1)",314.86136030353447,14.837680223425656,285.7795070656202,343.94321354144876,20,9 p_gen values
theta,"(4,1)",650.6434807800013,41.640383068603086,569.0283299655392,732.2586315944633,20,9 p_gen values
theta,"(5,1)",572.0516623703554,30.762865576155438,511.75644584109074,632.34687889962,20,9 p_gen values
theta,"(6,1)",726.4885792642535,50.92307220359777,626.6793577452019,826.2978007833052,20,9 p_gen values
theta,"(9,1)",1111.7898034266689,89.94162554783264,935.5042173529168,1288.075389500421,20,9 p_gen values
theta,"(15,1)",1537.649307286133,129.13633566285517,1284.5420893869368,1790.7565251853293,20,9 p_gen values
theta,"(19,1)",1546.2481832916446,131.00786956245847,1289.472758949226,1803.0236076340632,20,9 p_gen values
