run_id,theta,p_gen,total_nll,num_trials,k,aic
1,"(15,1)",0.1,27.42526253864309,19,1,56.85052507728618
2,"(15,1)",0.1,41.16889993729454,7,1,84.33779987458908
3,"(15,1)",0.1,52.546596482705205,17,1,107.09319296541041
4,"(15,1)",0.1,35.43117600871628,19,1,72.86235201743256
5,"(15,1)",0.1,14.16358652232768,10,1,30.32717304465536
6,"(15,1)",0.1,21.8470827092397,9,1,45.6941654184794
7,"(15,1)",0.1,28.63873327627633,19,1,59.27746655255266
8,"(15,1)",0.1,66.92332218818741,22,1,135.84664437637483
9,"(15,1)",0.1,16.050869312904513,14,1,34.10173862580903
10,"(15,1)",0.1,39.231092985186,10,1,80.462185970372
11,"(15,1)",0.1,18.061119081597376,10,1,38.12223816319475
12,"(15,1)",0.1,42.66565872599044,9,1,87.33131745198088
13,"(15,1)",0.1,18.989276802644625,14,1,39.97855360528925
14,"(15,1)",0.1,43.9006743368515,13,1,89.801348673703
15,"(15,1)",0.1,22.20149080027599,17,1,46.40298160055198
16,"(15,1)",0.1,8.218765455266132,10,1,18.437530910532264
17,"(15,1)",0.1,83.62703252286585,8,1,169.2540650457317
18,"(15,1)",0.1,32.22223302537968,20,1,66.44446605075936
19,"(15,1)",0.1,24.331989359027702,9,1,50.663978718055404
20,"(15,1)",0.1,15.397589955097652,14,1,32.7951799101953
1,"(15,1)",0.2,20.50862634785426,19,2,45.01725269570852
2,"(15,1)",0.2,36.21103270873694,7,2,76.42206541747387
3,"(15,1)",0.2,29.35154222763647,17,2,62.70308445527294
4,"(15,1)",0.2,27.51853469920197,19,2,59.03706939840394
5,"(15,1)",0.2,11.432550499224364,10,2,26.865100998448728
6,"(15,1)",0.2,20.932266748516646,9,2,45.86453349703329
7,"(15,1)",0.2,20.615337566840232,19,2,45.230675133680464
8,"(15,1)",0.2,38.21407723095121,22,2,80.42815446190242
9,"(15,1)",0.2,13.516177991638699,14,2,31.032355983277398
10,"(15,1)",0.2,16.94115268743043,10,2,37.88230537486086
11,"(15,1)",0.2,13.45928797741363,10,2,30.91857595482726
12,"(15,1)",0.2,22.756816040567692,9,2,49.513632081135384
13,"(15,1)",0.2,18.44665635370181,14,2,40.89331270740362
14,"(15,1)",0.2,19.154042528140337,13,2,42.308085056280675
15,"(15,1)",0.2,21.30027915907595,17,2,46.6005583181519
16,"(15,1)",0.2,9.365649439267209,10,2,22.731298878534417
17,"(15,1)",0.2,63.95180468862462,8,2,131.90360937724924
18,"(15,1)",0.2,26.054525410662066,20,2,56.10905082132413
19,"(15,1)",0.2,23.417173398304644,9,2,50.83434679660929
20,"(15,1)",0.2,15.96114324672227,14,2,35.92228649344454
1,"(15,1)",0.3,21.190302421852664,19,2,46.38060484370533
2,"(15,1)",0.3,32.07447253246154,7,2,68.14894506492308
3,"(15,1)",0.3,24.159085193035605,17,2,52.31817038607121
4,"(15,1)",0.3,23.05479393831245,19,2,50.1095878766249
5,"(15,1)",0.3,12.123794412149154,10,2,28.247588824298308
6,"(15,1)",0.3,16.429050739304838,9,2,36.858101478609676
7,"(15,1)",0.3,20.698037861428524,19,2,45.39607572285705
8,"(15,1)",0.3,33.52388371210141,22,2,71.04776742420282
9,"(15,1)",0.3,15.474842076615204,14,2,34.94968415323041
10,"(15,1)",0.3,16.136339318448055,10,2,36.27267863689611
11,"(15,1)",0.3,13.811896943644166,10,2,31.623793887288333
12,"(15,1)",0.3,17.601771000126668,9,2,39.203542000253336
13,"(15,1)",0.3,20.235326617985933,14,2,44.47065323597187
14,"(15,1)",0.3,17.812126845605533,13,2,39.62425369121107
15,"(15,1)",0.3,22.669683021543136,17,2,49.33936604308627
16,"(15,1)",0.3,11.618083889049933,10,2,27.236167778099865
17,"(15,1)",0.3,39.651502555797144,8,2,83.30300511159429
18,"(15,1)",0.3,24.032662851142195,20,2,52.06532570228439
19,"(15,1)",0.3,18.163651794692946,9,2,40.32730358938589
20,"(15,1)",0.3,16.12408134576818,14,2,36.24816269153636
1,"(15,1)",0.4,25.438591837901072,19,2,54.877183675802144
2,"(15,1)",0.4,30.354330833500885,7,2,64.70866166700176
3,"(15,1)",0.4,25.888341236904257,17,2,55.77668247380851
4,"(15,1)",0.4,25.57815252538729,19,2,55.15630505077458
5,"(15,1)",0.4,12.57580610135627,10,2,29.15161220271254
6,"(15,1)",0.4,14.242655750345488,9,2,32.485311500690976
7,"(15,1)",0.4,23.631616391569636,19,2,51.26323278313927
8,"(15,1)",0.4,31.275379730092798,22,2,66.55075946018559
9,"(15,1)",0.4,17.172450429524815,14,2,38.34490085904963
10,"(15,1)",0.4,14.18977916895576,10,2,32.37955833791152
11,"(15,1)",0.4,12.435760027710552,10,2,28.871520055421104
12,"(15,1)",0.4,14.935802930905435,9,2,33.87160586181087
13,"(15,1)",0.4,19.456849316641247,14,2,42.91369863328249
14,"(15,1)",0.4,16.376308523664598,13,2,36.752617047329196
15,"(15,1)",0.4,23.756154171059393,17,2,51.512308342118786
16,"(15,1)",0.4,13.622107743013409,10,2,31.244215486026818
17,"(15,1)",0.4,18.500478781560062,8,2,41.000957563120124
18,"(15,1)",0.4,28.29410012140975,20,2,60.5882002428195
19,"(15,1)",0.4,15.768712053840538,9,2,35.537424107681076
20,"(15,1)",0.4,19.279062915012688,14,2,42.558125830025375
1,"(15,1)",0.5,24.99048020974904,19,2,53.98096041949808
2,"(15,1)",0.5,31.344258838532074,7,2,66.68851767706414
3,"(15,1)",0.5,21.489539362197114,17,2,46.97907872439423
4,"(15,1)",0.5,23.65290639673117,19,2,51.30581279346234
5,"(15,1)",0.5,12.775201193838692,10,2,29.550402387677384
6,"(15,1)",0.5,16.054443042125197,9,2,36.10888608425039
7,"(15,1)",0.5,25.75158615878806,19,2,55.50317231757612
8,"(15,1)",0.5,31.503233592755443,22,2,67.00646718551089
9,"(15,1)",0.5,18.230690061920562,14,2,40.461380123841124
10,"(15,1)",0.5,15.248542174313869,10,2,34.49708434862774
11,"(15,1)",0.5,12.941996680103726,10,2,29.88399336020745
12,"(15,1)",0.5,16.587247572609964,9,2,37.17449514521993
13,"(15,1)",0.5,21.055584297562813,14,2,46.111168595125626
14,"(15,1)",0.5,18.389457457712854,13,2,40.77891491542571
15,"(15,1)",0.5,29.484538014101332,17,2,62.969076028202664
16,"(15,1)",0.5,14.650963771956379,10,2,33.301927543912754
17,"(15,1)",0.5,19.103006685880725,8,2,42.20601337176145
18,"(15,1)",0.5,27.54519469565469,20,2,59.09038939130938
19,"(15,1)",0.5,17.009954487152633,9,2,38.01990897430527
20,"(15,1)",0.5,20.312835434830564,14,2,44.62567086966113
1,"(15,1)",0.6,21.44728784533592,19,2,46.89457569067184
2,"(15,1)",0.6,34.22553184440878,7,2,72.45106368881756
3,"(15,1)",0.6,17.18148019597617,17,2,38.36296039195234
4,"(15,1)",0.6,19.690983972197305,19,2,43.38196794439461
5,"(15,1)",0.6,14.581758254684196,10,2,33.16351650936839
6,"(15,1)",0.6,20.450843280964758,9,2,44.901686561929516
7,"(15,1)",0.6,25.945762478257002,19,2,55.891524956514004
8,"(15,1)",0.6,28.628618445073013,22,2,61.257236890146025
9,"(15,1)",0.6,19.175112637198477,14,2,42.350225274396955
10,"(15,1)",0.6,20.315253626658908,10,2,44.630507253317816
11,"(15,1)",0.6,16.311824154906912,10,2,36.623648309813824
12,"(15,1)",0.6,21.889323395255218,9,2,47.778646790510436
13,"(15,1)",0.6,23.87144238926458,14,2,51.74288477852916
14,"(15,1)",0.6,23.79160862206492,13,2,51.58321724412984
15,"(15,1)",0.6,35.9034922808155,17,2,75.806984561631
16,"(15,1)",0.6,17.549872493817592,10,2,39.099744987635184
17,"(15,1)",0.6,61.734385326363125,8,2,127.46877065272625
18,"(15,1)",0.6,24.041889941899385,20,2,52.08377988379877
19,"(15,1)",0.6,22.242602750192813,9,2,48.485205500385625
20,"(15,1)",0.6,20.506157150528686,14,2,45.01231430105737
1,"(15,1)",0.7,25.464226553003222,19,2,54.928453106006444
2,"(15,1)",0.7,52.261283611574854,7,2,108.52256722314971
3,"(15,1)",0.7,19.242922401998907,17,2,42.485844803997814
4,"(15,1)",0.7,22.542193867627596,19,2,49.08438773525519
5,"(15,1)",0.7,15.707869831399826,10,2,35.41573966279965
6,"(15,1)",0.7,38.48659504813083,9,2,80.97319009626166
7,"(15,1)",0.7,30.53651696937375,19,2,65.0730339387475
8,"(15,1)",0.7,29.78396172033039,22,2,63.56792344066078
9,"(15,1)",0.7,20.568546066591907,14,2,45.13709213318381
10,"(15,1)",0.7,19.995965914501685,10,2,43.99193182900337
11,"(15,1)",0.7,16.349723717572218,10,2,36.699447435144435
12,"(15,1)",0.7,39.684298239443166,9,2,83.36859647888633
13,"(15,1)",0.7,20.634307009459416,14,2,45.26861401891883
14,"(15,1)",0.7,24.069060042601667,13,2,52.13812008520333
15,"(15,1)",0.7,35.549760360277155,17,2,75.09952072055431
16,"(15,1)",0.7,18.243665282014177,10,2,40.487330564028355
17,"(15,1)",0.7,80.32786786676884,8,2,164.65573573353768
18,"(15,1)",0.7,26.427773668055305,20,2,56.85554733611061
19,"(15,1)",0.7,58.986717333763025,9,2,121.97343466752605
20,"(15,1)",0.7,20.095013464316406,14,2,44.19002692863281
1,"(15,1)",0.8,23.850388344622125,19,2,51.70077668924425
2,"(15,1)",0.8,53.91312580285491,7,2,111.82625160570981
3,"(15,1)",0.8,19.384075834441834,17,2,42.76815166888367
4,"(15,1)",0.8,21.771222207912444,19,2,47.54244441582489
5,"(15,1)",0.8,36.178767580515384,10,2,76.35753516103077
6,"(15,1)",0.8,43.09334751844462,9,2,90.18669503688923
7,"(15,1)",0.8,29.751238309799852,19,2,63.502476619599705
8,"(15,1)",0.8,26.056502008907895,22,2,56.11300401781579
9,"(15,1)",0.8,19.264793701324926,14,2,42.52958740264985
10,"(15,1)",0.8,43.68363731356486,10,2,91.36727462712972
11,"(15,1)",0.8,38.110288992118605,10,2,80.22057798423721
12,"(15,1)",0.8,45.0186383802972,9,2,94.0372767605944
13,"(15,1)",0.8,18.896540984539747,14,2,41.793081969079495
14,"(15,1)",0.8,29.035675403330377,13,2,62.07135080666075
15,"(15,1)",0.8,39.61300826026743,17,2,83.22601652053486
16,"(15,1)",0.8,37.7927221790183,10,2,79.5854443580366
17,"(15,1)",0.8,81.5033249242632,8,2,167.0066498485264
18,"(15,1)",0.8,23.660884300318568,20,2,51.321768600637135
19,"(15,1)",0.8,63.123466174831094,9,2,130.2469323496622
20,"(15,1)",0.8,18.666207372810277,14,2,41.332414745620554
1,"(15,1)",0.9,24.594070367478146,19,2,53.18814073495629
2,"(15,1)",0.9,35.83705987870786,7,2,75.67411975741572
3,"(15,1)",0.9,21.567613557722566,17,2,47.13522711544513
4,"(15,1)",0.9,23.44591662263703,19,2,50.89183324527406
5,"(15,1)",0.9,17.974199612148823,10,2,39.948399224297646
6,"(15,1)",0.9,22.637735460167406,9,2,49.27547092033481
7,"(15,1)",0.9,31.079916287131823,19,2,66.15983257426365
8,"(15,1)",0.9,28.23285911833361,22,2,60.46571823666722
9,"(15,1)",0.9,20.207181733291844,14,2,44.41436346658369
10,"(15,1)",0.9,23.217553955420343,10,2,50.435107910840685
11,"(15,1)",0.9,19.73998359497362,10,2,43.47996718994724
12,"(15,1)",0.9,24.380704765226028,9,2,52.761409530452056
13,"(15,1)",0.9,18.07991542776031,14,2,40.15983085552062
14,"(15,1)",0.9,28.00712786440672,13,2,60.01425572881344
15,"(15,1)",0.9,35.43886700627981,17,2,74.87773401255961
16,"(15,1)",0.9,17.96283585349851,10,2,39.92567170699702
17,"(15,1)",0.9,25.230855694595636,8,2,54.46171138919127
18,"(15,1)",0.9,24.71233782623555,20,2,53.4246756524711
19,"(15,1)",0.9,24.42949492939546,9,2,52.85898985879092
20,"(15,1)",0.9,18.94205405232365,14,2,41.8841081046473
1,"(19,1)",0.1,27.17389867039924,19,0,54.34779734079848
2,"(19,1)",0.1,17.4476316782596,7,0,34.8952633565192
3,"(19,1)",0.1,54.7929669574394,17,0,109.5859339148788
4,"(19,1)",0.1,37.818127459489254,19,0,75.63625491897851
