profile,value,mean_aic,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,95.51174480823575,8.909493374509678,78.04913779419678,112.97435182227471,20,11 theta values
p_gen,0.2,73.51696004372675,6.597642438692696,60.58558086388907,86.44833922356443,20,11 theta values
p_gen,0.3,73.78133822647033,6.469094280066975,61.101913437539054,86.4607630154016,20,11 theta values
p_gen,0.4,68.7201287106447,5.4175635732434575,58.10170410708753,79.33855331420187,20,11 theta values
p_gen,0.5,61.67199101070897,5.287585791644465,51.30832285908582,72.03565916233212,20,11 theta values
p_gen,0.6,66.76971341961433,5.688306582498831,55.620632517916626,77.91879432131205,20,11 theta values
p_gen,0.7,60.860026120673545,4.311737465459532,52.40902068837286,69.31103155297423,20,11 theta values
p_gen,0.8,69.34611565255707,6.512279239010858,56.582048344095796,82.11018296101835,20,11 theta values
p_gen,0.9,74.86944302443028,8.287590255941508,58.625766122784924,91.11311992607564,20,11 theta values
theta,"(1,1)",91.15381359241563,10.704535432223775,70.17292414525703,112.13470303957423,20,9 p_gen values
theta,"(1,2)",101.42824363135202,10.65815668462395,80.53825652948908,122.31823073321496,20,9 p_gen values
theta,"(1,3)",111.40510474496435,10.926320703731601,89.98951616565041,132.8206933242783,20,9 p_gen values
theta,"(2,1)",70.59737056102045,7.155593745641439,56.572406819563234,84.62233430247767,20,9 p_gen values
theta,"(3,1)",65.51671042066309,6.944437782913715,51.905612366152205,79.12780847517396,20,9 p_gen values
theta,"(4,1)",59.76666620608502,4.318813351334245,51.3017920374699,68.23154037470015,20,9 p_gen values
theta,"(5,1)",56.34223568097015,4.2423833985469965,48.02716421981803,64.65730714212226,20,9 p_gen values
theta,"(6,1)",61.7136790829544,5.356200067605611,51.2155269504474,72.2118312154614,20,9 p_gen values
theta,"(9,1)",60.374031123237955,3.837378381478606,52.85276949553989,67.89529275093602,20,9 p_gen values
theta,"(15,1)",55.579558422483466,3.8469151522955265,48.03960472398423,63.1195121209827,20,9 p_gen values
theta,"(19,1)",54.513927776928924,3.7619696409865546,47.140467280595274,61.88738827326257,20,9 p_gen values
