theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(2,1)",0.3,0.02,1,0.98,0.02,0.0,0.0,0.0,0.0
"(2,1)",0.3,0.02,2,0.85,0.15,0.0,0.0,0.0,0.0
"(2,1)",0.3,0.02,3,0.6,0.38,0.02,0.0,0.0,0.0
"(2,1)",0.3,0.02,4,0.35,0.59,0.06,0.0,0.0,0.0
"(2,1)",0.3,0.02,5,0.2,0.64,0.14,0.02,0.0,0.0
"(2,1)",0.3,0.02,6,0.13,0.54,0.26,0.06,0.01,0.0
"(2,1)",0.3,0.02,7,0.08,0.48,0.29,0.12,0.03,0.0
"(2,1)",0.3,0.02,8,0.07,0.34,0.37,0.18,0.03,0.01
"(2,1)",0.3,0.02,9,0.05,0.29,0.3,0.29,0.05,0.02
"(2,1)",0.3,0.02,10,0.04,0.23,0.25,0.34,0.12,0.02
"(2,1)",0.3,0.02,11,0.03,0.2,0.23,0.33,0.16,0.05
"(2,1)",0.3,0.02,12,0.02,0.19,0.2,0.33,0.19,0.07
"(2,1)",0.3,0.02,13,0.02,0.17,0.17,0.33,0.19,0.12
"(2,1)",0.3,0.02,14,0.02,0.16,0.16,0.27,0.24,0.15
"(2,1)",0.3,0.02,15,0.02,0.15,0.14,0.25,0.26,0.18
"(2,1)",0.3,0.02,16,0.02,0.14,0.13,0.2,0.23,0.28
"(2,1)",0.3,0.02,17,0.01,0.15,0.09,0.2,0.23,0.32
"(2,1)",0.3,0.02,18,0.01,0.13,0.09,0.19,0.16,0.42
"(2,1)",0.3,0.02,19,0.01,0.11,0.1,0.16,0.17,0.45
"(2,1)",0.3,0.02,20,0.01,0.11,0.1,0.14,0.14,0.5
"(2,1)",0.3,0.02,21,0.01,0.11,0.1,0.13,0.08,0.57
"(2,1)",0.3,0.02,22,0.01,0.11,0.06,0.14,0.1,0.58
"(2,1)",0.3,0.02,23,0.01,0.11,0.05,0.13,0.11,0.59
"(2,1)",0.3,0.02,24,0.01,0.11,0.05,0.11,0.12,0.6
"(2,1)",0.3,0.02,25,0.01,0.11,0.05,0.09,0.12,0.62
"(2,1)",0.3,0.02,26,0.01,0.1,0.06,0.07,0.12,0.64
"(2,1)",0.3,0.02,27,0.01,0.1,0.04,0.08,0.08,0.69
"(2,1)",0.3,0.02,28,0.01,0.1,0.04,0.07,0.07,0.71
"(2,1)",0.3,0.02,29,0.01,0.1,0.03,0.07,0.06,0.73
"(2,1)",0.3,0.02,30,0.01,0.1,0.03,0.07,0.05,0.74
"(2,1)",0.3,0.02,31,0.01,0.1,0.03,0.07,0.04,0.75
"(2,1)",0.3,0.02,32,0.01,0.08,0.05,0.06,0.04,0.76
"(2,1)",0.3,0.02,33,0.01,0.08,0.04,0.03,0.08,0.76
"(2,1)",0.3,0.02,34,0.01,0.07,0.04,0.03,0.09,0.76
"(2,1)",0.3,0.02,35,0.01,0.06,0.04,0.03,0.09,0.77
"(2,1)",0.3,0.02,36,0.01,0.06,0.04,0.02,0.08,0.79
"(2,1)",0.3,0.02,37,0.01,0.06,0.04,0.01,0.07,0.81
"(2,1)",0.3,0.02,38,0.01,0.06,0.04,0.01,0.06,0.82
"(2,1)",0.3,0.02,39,0.01,0.06,0.03,0.02,0.06,0.82
"(2,1)",0.3,0.02,40,0.01,0.06,0.03,0.02,0.02,0.86
"(2,1)",0.3,0.02,41,0.01,0.06,0.03,0.01,0.03,0.86
"(2,1)",0.3,0.02,42,0.01,0.06,0.03,0.01,0.02,0.87
"(2,1)",0.3,0.02,43,0.01,0.06,0.03,0.01,0.02,0.87
"(2,1)",0.3,0.02,44,0.01,0.06,0.03,0.01,0.02,0.87
"(2,1)",0.3,0.02,45,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,46,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,47,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,48,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,49,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,50,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,51,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,52,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,53,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,54,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,55,0.01,0.06,0.03,0.01,0.01,0.88
"(2,1)",0.3,0.02,56,0.01,0.06,0.02,0.02,0.01,0.88
"(2,1)",0.3,0.02,57,0.01,0.06,0.02,0.01,0.02,0.88
"(2,1)",0.3,0.02,58,0.01,0.06,0.02,0.01,0.02,0.88
"(2,1)",0.3,0.02,59,0.01,0.06,0.02,0.01,0.02,0.88
"(2,1)",0.3,0.02,60,0.01,0.06,0.02,0.01,0.01,0.89
"(2,1)",0.3,0.02,61,0.01,0.06,0.02,0.01,0.01,0.89
"(2,1)",0.3,0.02,62,0.01,0.06,0.02,0.01,0.01,0.89
"(2,1)",0.3,0.02,63,0.01,0.06,0.02,0.01,0.01,0.89
