theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(2,1)",0.4,0.02,1,20,5,True,0.7890295358649789
"(2,1)",0.4,0.02,2,45,5,True,0.7800446570799452
"(2,1)",0.4,0.02,3,42,5,True,0.7560998246358536
"(2,1)",0.4,0.02,4,12,5,True,0.8470999280452796
"(2,1)",0.4,0.02,5,18,5,True,0.8311688311688311
"(2,1)",0.4,0.02,6,21,5,True,0.8330634476667158
"(2,1)",0.4,0.02,7,20,5,True,0.8200836820083681
"(2,1)",0.4,0.02,8,25,5,True,0.8284236240839201
"(2,1)",0.4,0.02,9,22,5,True,0.7841056732534359
"(2,1)",0.4,0.02,10,70,1,False,0.2307261439527325
"(2,1)",0.4,0.02,11,25,5,True,0.8050847457627118
"(2,1)",0.4,0.02,12,70,1,False,0.21442040494312656
"(2,1)",0.4,0.02,13,59,5,True,0.6348122866894199
"(2,1)",0.4,0.02,14,19,5,True,0.7768595041322314
"(2,1)",0.4,0.02,15,49,5,True,0.7542426797870775
"(2,1)",0.4,0.02,16,30,5,True,0.7352001843542935
"(2,1)",0.4,0.02,17,14,5,True,0.8446297640850824
"(2,1)",0.4,0.02,18,70,3,False,0.35675147237008864
"(2,1)",0.4,0.02,19,37,5,True,0.736100946097176
"(2,1)",0.4,0.02,20,24,5,True,0.7742284190081102
"(2,1)",0.4,0.02,21,70,1,False,0.2323681355849081
"(2,1)",0.4,0.02,22,15,5,True,0.8426649251959614
"(2,1)",0.4,0.02,23,33,5,True,0.7626164269916541
"(2,1)",0.4,0.02,24,17,5,True,0.818319795673056
"(2,1)",0.4,0.02,25,34,5,True,0.7372549019607844
"(2,1)",0.4,0.02,26,23,5,True,0.8000045970670712
"(2,1)",0.4,0.02,27,48,5,True,0.7309500988297106
"(2,1)",0.4,0.02,28,25,5,True,0.7606545923685993
"(2,1)",0.4,0.02,29,16,5,True,0.803730491120347
"(2,1)",0.4,0.02,30,22,5,True,0.7714931476165305
"(2,1)",0.4,0.02,31,22,5,True,0.7655134541460736
"(2,1)",0.4,0.02,32,21,5,True,0.79151284703008
"(2,1)",0.4,0.02,33,18,5,True,0.8201112818951442
"(2,1)",0.4,0.02,34,62,5,True,0.6097058529764282
"(2,1)",0.4,0.02,35,12,5,True,0.8538812785388127
"(2,1)",0.4,0.02,36,70,1,False,0.22830285496965647
"(2,1)",0.4,0.02,37,23,5,True,0.7968999267020221
"(2,1)",0.4,0.02,38,17,5,True,0.8025590107658496
"(2,1)",0.4,0.02,39,13,5,True,0.8368298949784221
"(2,1)",0.4,0.02,40,18,5,True,0.7938805574780862
"(2,1)",0.4,0.02,41,24,5,True,0.8545454545454546
