theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(1,3)",0.9,0.02,1,0.71,0.29,0.0,0.0,0.0,0.0
"(1,3)",0.9,0.02,2,0.52,0.41,0.07,0.0,0.0,0.0
"(1,3)",0.9,0.02,3,0.41,0.48,0.11,0.0,0.0,0.0
"(1,3)",0.9,0.02,4,0.35,0.49,0.16,0.0,0.0,0.0
"(1,3)",0.9,0.02,5,0.32,0.48,0.2,0.0,0.0,0.0
"(1,3)",0.9,0.02,6,0.28,0.49,0.2,0.03,0.0,0.0
"(1,3)",0.9,0.02,7,0.26,0.46,0.24,0.04,0.0,0.0
"(1,3)",0.9,0.02,8,0.24,0.44,0.26,0.06,0.0,0.0
"(1,3)",0.9,0.02,9,0.2,0.47,0.24,0.09,0.0,0.0
"(1,3)",0.9,0.02,10,0.16,0.45,0.28,0.11,0.0,0.0
"(1,3)",0.9,0.02,11,0.15,0.4,0.29,0.15,0.01,0.0
"(1,3)",0.9,0.02,12,0.13,0.39,0.29,0.16,0.03,0.0
"(1,3)",0.9,0.02,13,0.13,0.35,0.28,0.2,0.04,0.0
"(1,3)",0.9,0.02,14,0.13,0.32,0.26,0.22,0.06,0.01
"(1,3)",0.9,0.02,15,0.12,0.29,0.29,0.17,0.1,0.03
"(1,3)",0.9,0.02,16,0.11,0.27,0.29,0.18,0.09,0.06
"(1,3)",0.9,0.02,17,0.1,0.26,0.28,0.2,0.1,0.06
"(1,3)",0.9,0.02,18,0.09,0.26,0.27,0.21,0.09,0.08
"(1,3)",0.9,0.02,19,0.09,0.24,0.24,0.26,0.08,0.09
"(1,3)",0.9,0.02,20,0.08,0.24,0.23,0.23,0.1,0.12
"(1,3)",0.9,0.02,21,0.07,0.23,0.23,0.23,0.1,0.14
"(1,3)",0.9,0.02,22,0.07,0.23,0.23,0.17,0.14,0.16
"(1,3)",0.9,0.02,23,0.07,0.23,0.21,0.19,0.11,0.19
"(1,3)",0.9,0.02,24,0.06,0.24,0.21,0.15,0.12,0.22
"(1,3)",0.9,0.02,25,0.06,0.23,0.21,0.14,0.12,0.24
"(1,3)",0.9,0.02,26,0.06,0.22,0.22,0.14,0.1,0.26
"(1,3)",0.9,0.02,27,0.05,0.22,0.21,0.13,0.12,0.27
"(1,3)",0.9,0.02,28,0.05,0.21,0.22,0.1,0.11,0.31
"(1,3)",0.9,0.02,29,0.05,0.21,0.21,0.1,0.12,0.31
"(1,3)",0.9,0.02,30,0.05,0.2,0.21,0.1,0.13,0.31
"(1,3)",0.9,0.02,31,0.05,0.2,0.2,0.11,0.12,0.32
"(1,3)",0.9,0.02,32,0.05,0.19,0.21,0.1,0.11,0.34
"(1,3)",0.9,0.02,33,0.05,0.19,0.21,0.08,0.1,0.37
"(1,3)",0.9,0.02,34,0.05,0.19,0.2,0.07,0.1,0.39
"(1,3)",0.9,0.02,35,0.05,0.18,0.18,0.09,0.09,0.41
"(1,3)",0.9,0.02,36,0.05,0.18,0.16,0.11,0.06,0.44
"(1,3)",0.9,0.02,37,0.05,0.18,0.16,0.09,0.07,0.45
"(1,3)",0.9,0.02,38,0.05,0.18,0.16,0.08,0.07,0.46
"(1,3)",0.9,0.02,39,0.05,0.18,0.16,0.06,0.08,0.47
"(1,3)",0.9,0.02,40,0.05,0.17,0.16,0.07,0.08,0.47
"(1,3)",0.9,0.02,41,0.05,0.17,0.16,0.07,0.08,0.47
"(1,3)",0.9,0.02,42,0.05,0.16,0.17,0.07,0.05,0.5
"(1,3)",0.9,0.02,43,0.04,0.17,0.17,0.07,0.05,0.5
"(1,3)",0.9,0.02,44,0.04,0.17,0.16,0.08,0.04,0.51
"(1,3)",0.9,0.02,45,0.04,0.16,0.16,0.08,0.05,0.51
"(1,3)",0.9,0.02,46,0.04,0.16,0.16,0.07,0.05,0.52
"(1,3)",0.9,0.02,47,0.04,0.16,0.15,0.07,0.05,0.53
"(1,3)",0.9,0.02,48,0.03,0.17,0.15,0.06,0.05,0.54
"(1,3)",0.9,0.02,49,0.03,0.17,0.15,0.06,0.04,0.55
"(1,3)",0.9,0.02,50,0.03,0.16,0.16,0.06,0.04,0.55
"(1,3)",0.9,0.02,51,0.03,0.16,0.16,0.06,0.03,0.56
"(1,3)",0.9,0.02,52,0.03,0.16,0.16,0.05,0.03,0.57
"(1,3)",0.9,0.02,53,0.02,0.17,0.16,0.05,0.03,0.57
"(1,3)",0.9,0.02,54,0.02,0.17,0.16,0.05,0.03,0.57
"(1,3)",0.9,0.02,55,0.02,0.17,0.16,0.04,0.04,0.57
"(1,3)",0.9,0.02,56,0.02,0.16,0.17,0.04,0.03,0.58
"(1,3)",0.9,0.02,57,0.02,0.15,0.18,0.04,0.02,0.59
"(1,3)",0.9,0.02,58,0.02,0.15,0.18,0.04,0.02,0.59
"(1,3)",0.9,0.02,59,0.02,0.15,0.18,0.04,0.01,0.6
"(1,3)",0.9,0.02,60,0.02,0.15,0.18,0.04,0.01,0.6
"(1,3)",0.9,0.02,61,0.02,0.15,0.18,0.04,0.01,0.6
"(1,3)",0.9,0.02,62,0.02,0.14,0.19,0.04,0.01,0.6
"(1,3)",0.9,0.02,63,0.02,0.13,0.19,0.05,0.01,0.6
"(1,3)",0.9,0.02,64,0.02,0.13,0.19,0.05,0.01,0.6
"(1,3)",0.9,0.02,65,0.02,0.13,0.19,0.05,0.01,0.6
"(1,3)",0.9,0.02,66,0.02,0.13,0.19,0.05,0.01,0.6
"(1,3)",0.9,0.02,67,0.02,0.12,0.2,0.05,0.01,0.6
"(1,3)",0.9,0.02,68,0.02,0.12,0.2,0.05,0.01,0.6
"(1,3)",0.9,0.02,69,0.02,0.12,0.19,0.05,0.02,0.6
"(1,3)",0.9,0.02,70,0.02,0.12,0.18,0.06,0.01,0.61
