theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(5,1)",0.7,0.02,1,0.41,0.59,0.0,0.0,0.0,0.0
"(5,1)",0.7,0.02,2,0.25,0.74,0.01,0.0,0.0,0.0
"(5,1)",0.7,0.02,3,0.2,0.61,0.19,0.0,0.0,0.0
"(5,1)",0.7,0.02,4,0.16,0.55,0.24,0.05,0.0,0.0
"(5,1)",0.7,0.02,5,0.16,0.44,0.33,0.07,0.0,0.0
"(5,1)",0.7,0.02,6,0.11,0.45,0.35,0.09,0.0,0.0
"(5,1)",0.7,0.02,7,0.1,0.38,0.37,0.15,0.0,0.0
"(5,1)",0.7,0.02,8,0.1,0.31,0.34,0.22,0.03,0.0
"(5,1)",0.7,0.02,9,0.09,0.29,0.33,0.24,0.05,0.0
"(5,1)",0.7,0.02,10,0.07,0.29,0.29,0.29,0.06,0.0
"(5,1)",0.7,0.02,11,0.06,0.26,0.28,0.28,0.12,0.0
"(5,1)",0.7,0.02,12,0.06,0.22,0.28,0.26,0.17,0.01
"(5,1)",0.7,0.02,13,0.06,0.2,0.25,0.26,0.18,0.05
"(5,1)",0.7,0.02,14,0.05,0.2,0.23,0.24,0.17,0.11
"(5,1)",0.7,0.02,15,0.04,0.21,0.18,0.25,0.19,0.13
"(5,1)",0.7,0.02,16,0.04,0.19,0.16,0.28,0.14,0.19
"(5,1)",0.7,0.02,17,0.04,0.19,0.13,0.26,0.13,0.25
"(5,1)",0.7,0.02,18,0.03,0.18,0.13,0.21,0.15,0.3
"(5,1)",0.7,0.02,19,0.03,0.17,0.14,0.16,0.17,0.33
"(5,1)",0.7,0.02,20,0.03,0.15,0.16,0.12,0.16,0.38
"(5,1)",0.7,0.02,21,0.03,0.12,0.16,0.13,0.11,0.45
"(5,1)",0.7,0.02,22,0.03,0.12,0.15,0.1,0.14,0.46
"(5,1)",0.7,0.02,23,0.03,0.11,0.14,0.08,0.14,0.5
"(5,1)",0.7,0.02,24,0.03,0.1,0.13,0.08,0.1,0.56
"(5,1)",0.7,0.02,25,0.02,0.11,0.1,0.1,0.1,0.57
"(5,1)",0.7,0.02,26,0.01,0.11,0.1,0.11,0.09,0.58
"(5,1)",0.7,0.02,27,0.01,0.11,0.1,0.1,0.05,0.63
"(5,1)",0.7,0.02,28,0.01,0.09,0.11,0.09,0.05,0.65
"(5,1)",0.7,0.02,29,0.01,0.09,0.1,0.09,0.04,0.67
"(5,1)",0.7,0.02,30,0.01,0.09,0.1,0.06,0.06,0.68
"(5,1)",0.7,0.02,31,0.01,0.09,0.08,0.07,0.06,0.69
"(5,1)",0.7,0.02,32,0.01,0.09,0.08,0.06,0.06,0.7
"(5,1)",0.7,0.02,33,0.01,0.09,0.07,0.06,0.05,0.72
"(5,1)",0.7,0.02,34,0.01,0.08,0.08,0.05,0.04,0.74
"(5,1)",0.7,0.02,35,0.01,0.08,0.05,0.07,0.02,0.77
"(5,1)",0.7,0.02,36,0.01,0.08,0.05,0.06,0.03,0.77
"(5,1)",0.7,0.02,37,0.01,0.07,0.05,0.06,0.03,0.78
"(5,1)",0.7,0.02,38,0.01,0.06,0.06,0.06,0.01,0.8
"(5,1)",0.7,0.02,39,0.01,0.06,0.04,0.05,0.03,0.81
"(5,1)",0.7,0.02,40,0.01,0.06,0.04,0.03,0.05,0.81
"(5,1)",0.7,0.02,41,0.01,0.06,0.03,0.03,0.04,0.83
"(5,1)",0.7,0.02,42,0.01,0.06,0.03,0.03,0.04,0.83
"(5,1)",0.7,0.02,43,0.01,0.06,0.03,0.03,0.03,0.84
"(5,1)",0.7,0.02,44,0.01,0.05,0.04,0.03,0.03,0.84
