theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(4,1)",0.3,0.02,1,0.96,0.04,0.0,0.0,0.0,0.0
"(4,1)",0.3,0.02,2,0.66,0.34,0.0,0.0,0.0,0.0
"(4,1)",0.3,0.02,3,0.44,0.51,0.05,0.0,0.0,0.0
"(4,1)",0.3,0.02,4,0.29,0.51,0.19,0.01,0.0,0.0
"(4,1)",0.3,0.02,5,0.17,0.49,0.24,0.1,0.0,0.0
"(4,1)",0.3,0.02,6,0.12,0.37,0.31,0.18,0.02,0.0
"(4,1)",0.3,0.02,7,0.1,0.31,0.3,0.23,0.06,0.0
"(4,1)",0.3,0.02,8,0.09,0.29,0.26,0.26,0.1,0.0
"(4,1)",0.3,0.02,9,0.05,0.3,0.26,0.28,0.09,0.02
"(4,1)",0.3,0.02,10,0.03,0.21,0.28,0.33,0.13,0.02
"(4,1)",0.3,0.02,11,0.02,0.17,0.29,0.33,0.12,0.07
"(4,1)",0.3,0.02,12,0.02,0.15,0.22,0.36,0.16,0.09
"(4,1)",0.3,0.02,13,0.02,0.11,0.18,0.36,0.19,0.14
"(4,1)",0.3,0.02,14,0.01,0.12,0.15,0.32,0.21,0.19
"(4,1)",0.3,0.02,15,0.01,0.09,0.13,0.27,0.26,0.24
"(4,1)",0.3,0.02,16,0.01,0.09,0.09,0.23,0.27,0.31
"(4,1)",0.3,0.02,17,0.01,0.09,0.06,0.19,0.28,0.37
"(4,1)",0.3,0.02,18,0.01,0.08,0.06,0.16,0.26,0.43
"(4,1)",0.3,0.02,19,0.01,0.08,0.05,0.12,0.22,0.52
"(4,1)",0.3,0.02,20,0.01,0.07,0.04,0.1,0.2,0.58
"(4,1)",0.3,0.02,21,0.01,0.07,0.03,0.06,0.19,0.64
"(4,1)",0.3,0.02,22,0.01,0.07,0.02,0.07,0.12,0.71
"(4,1)",0.3,0.02,23,0.01,0.07,0.02,0.05,0.1,0.75
