theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(1,2)",0.4,0.02,1,23,5,True,0.6782608695652174
"(1,2)",0.4,0.02,2,17,5,True,0.671708483738813
"(1,2)",0.4,0.02,3,17,5,True,0.6871794425516393
"(1,2)",0.4,0.02,4,26,5,True,0.6948236035279295
"(1,2)",0.4,0.02,5,49,5,True,0.5202658277043732
"(1,2)",0.4,0.02,6,32,5,True,0.647113709878079
"(1,2)",0.4,0.02,7,30,5,True,0.6068445905664318
"(1,2)",0.4,0.02,8,70,1,False,0.11463290706350705
"(1,2)",0.4,0.02,9,23,5,True,0.6492262926059853
"(1,2)",0.4,0.02,10,43,5,True,0.6749730957790268
"(1,2)",0.4,0.02,11,56,5,True,0.5793357933579336
"(1,2)",0.4,0.02,12,17,5,True,0.704860493341362
"(1,2)",0.4,0.02,13,18,5,True,0.7081545064377682
"(1,2)",0.4,0.02,14,25,5,True,0.7035333978702807
"(1,2)",0.4,0.02,15,20,5,True,0.6828373842764234
"(1,2)",0.4,0.02,16,56,5,True,0.5770840695978107
"(1,2)",0.4,0.02,17,34,5,True,0.6173705577307224
"(1,2)",0.4,0.02,18,44,5,True,0.6488759476253053
"(1,2)",0.4,0.02,19,20,5,True,0.6733963126618924
"(1,2)",0.4,0.02,20,70,1,False,0.15786660706802041
"(1,2)",0.4,0.02,21,70,1,False,0.0740732720126613
"(1,2)",0.4,0.02,22,17,5,True,0.6869335667575522
"(1,2)",0.4,0.02,23,31,5,True,0.6004573019186797
"(1,2)",0.4,0.02,24,31,5,True,0.592413371462769
"(1,2)",0.4,0.02,25,17,5,True,0.7149200710479574
"(1,2)",0.4,0.02,26,29,5,True,0.6395899362674605
"(1,2)",0.4,0.02,27,17,5,True,0.7222222222222222
"(1,2)",0.4,0.02,28,23,5,True,0.7149200710479574
"(1,2)",0.4,0.02,29,22,5,True,0.6939712640243297
"(1,2)",0.4,0.02,30,52,5,True,0.6201550387596899
"(1,2)",0.4,0.02,31,38,5,True,0.6249999999999998
"(1,2)",0.4,0.02,32,13,5,True,0.6889562620877855
"(1,2)",0.4,0.02,33,17,5,True,0.6517896129943169
"(1,2)",0.4,0.02,34,23,5,True,0.6900421595714276
"(1,2)",0.4,0.02,35,70,3,False,0.30363660168164075
"(1,2)",0.4,0.02,36,70,1,False,0.07407407407407407
"(1,2)",0.4,0.02,37,22,5,True,0.7040358744394619
"(1,2)",0.4,0.02,38,70,4,False,0.40875757821831626
"(1,2)",0.4,0.02,39,25,5,True,0.7114603699804481
"(1,2)",0.4,0.02,40,26,5,True,0.7008928571428571
"(1,2)",0.4,0.02,41,23,5,True,0.6600951894958567
"(1,2)",0.4,0.02,42,43,5,True,0.5510163976922342
"(1,2)",0.4,0.02,43,31,5,True,0.6986899563318777
"(1,2)",0.4,0.02,44,22,5,True,0.6742206946680849
"(1,2)",0.4,0.02,45,25,5,True,0.6841399240194682
"(1,2)",0.4,0.02,46,27,5,True,0.6823574883876135
"(1,2)",0.4,0.02,47,16,5,True,0.6930249974214628
"(1,2)",0.4,0.02,48,18,5,True,0.6720150276869415
"(1,2)",0.4,0.02,49,27,5,True,0.6709721666571412
"(1,2)",0.4,0.02,50,19,5,True,0.7082649131990506
"(1,2)",0.4,0.02,51,21,5,True,0.6411245249935672
"(1,2)",0.4,0.02,52,70,1,False,0.07417630045630765
"(1,2)",0.4,0.02,53,48,5,True,0.5563380281690141
"(1,2)",0.4,0.02,54,12,5,True,0.6924572857341298
"(1,2)",0.4,0.02,55,31,5,True,0.6814252155432964
"(1,2)",0.4,0.02,56,23,5,True,0.6816793596631533
"(1,2)",0.4,0.02,57,70,2,False,0.3025940059794473
"(1,2)",0.4,0.02,58,29,5,True,0.6333915153246605
"(1,2)",0.4,0.02,59,27,5,True,0.6625
"(1,2)",0.4,0.02,60,32,5,True,0.6604080098483872
"(1,2)",0.4,0.02,61,27,5,True,0.6426788863507442
"(1,2)",0.4,0.02,62,15,5,True,0.7235023041474654
"(1,2)",0.4,0.02,63,16,5,True,0.6765508021621434
"(1,2)",0.4,0.02,64,29,5,True,0.6652542372881356
"(1,2)",0.4,0.02,65,20,5,True,0.704860493341362
"(1,2)",0.4,0.02,66,70,2,False,0.2232508344411477
"(1,2)",0.4,0.02,67,24,5,True,0.6432006417719017
"(1,2)",0.4,0.02,68,39,5,True,0.6387420283930801
"(1,2)",0.4,0.02,69,33,5,True,0.6359999999999999
"(1,2)",0.4,0.02,70,16,5,True,0.7010098944016168
"(1,2)",0.4,0.02,71,68,5,True,0.6730042561577783
"(1,2)",0.4,0.02,72,61,5,True,0.5792343854088995
"(1,2)",0.4,0.02,73,70,3,False,0.31285593340606865
"(1,2)",0.4,0.02,74,70,2,False,0.2300770684328282
"(1,2)",0.4,0.02,75,47,5,True,0.5772707437192195
"(1,2)",0.4,0.02,76,31,5,True,0.7174887892376681
"(1,2)",0.4,0.02,77,70,1,False,0.1533124826643641
"(1,2)",0.4,0.02,78,70,1,False,0.14552930783393295
"(1,2)",0.4,0.02,79,70,1,False,0.13846014229967035
"(1,2)",0.4,0.02,80,70,1,False,0.07407395450681727
"(1,2)",0.4,0.02,81,25,5,True,0.6279215578269781
"(1,2)",0.4,0.02,82,45,5,True,0.599219423184145
"(1,2)",0.4,0.02,83,70,3,False,0.32346423277359443
"(1,2)",0.4,0.02,84,29,5,True,0.6664179178958823
"(1,2)",0.4,0.02,85,70,3,False,0.3893590058807888
"(1,2)",0.4,0.02,86,70,2,False,0.22658891583641788
"(1,2)",0.4,0.02,87,17,5,True,0.6982172136836275
"(1,2)",0.4,0.02,88,70,4,False,0.3481635071341472
"(1,2)",0.4,0.02,89,30,5,True,0.6453361425941222
"(1,2)",0.4,0.02,90,36,5,True,0.6474489677142358
"(1,2)",0.4,0.02,91,70,2,False,0.23033618647367968
"(1,2)",0.4,0.02,92,28,5,True,0.6450310125356356
"(1,2)",0.4,0.02,93,42,5,True,0.5923523166863536
"(1,2)",0.4,0.02,94,70,2,False,0.22553208347548062
"(1,2)",0.4,0.02,95,23,5,True,0.6531058138578597
"(1,2)",0.4,0.02,96,24,5,True,0.6502607783674266
"(1,2)",0.4,0.02,97,69,5,True,0.5525668508290792
"(1,2)",0.4,0.02,98,31,5,True,0.6410618783619583
"(1,2)",0.4,0.02,99,70,2,False,0.2743593517607548
"(1,2)",0.4,0.02,100,70,0,False,0.07615046665447314
