theta,gen,true_prior,run_number,trials_completed,boxes_opened,solved,final_theta
"(19,1)",0.4,0.02,1,29,5,True,0.9587912087912088
"(19,1)",0.4,0.02,2,15,5,True,0.9575923392612858
"(19,1)",0.4,0.02,3,9,5,True,0.9582028342298563
"(19,1)",0.4,0.02,4,30,5,True,0.9425790767059772
"(19,1)",0.4,0.02,5,17,5,True,0.9537666629881467
"(19,1)",0.4,0.02,6,16,5,True,0.9547051456925504
"(19,1)",0.4,0.02,7,21,5,True,0.9306666666666666
"(19,1)",0.4,0.02,8,22,5,True,0.9461514832480143
"(19,1)",0.4,0.02,9,25,5,True,0.931579766536965
"(19,1)",0.4,0.02,10,20,5,True,0.9475367755948267
"(19,1)",0.4,0.02,11,15,5,True,0.9539209607414417
"(19,1)",0.4,0.02,12,19,5,True,0.9568733153638814
"(19,1)",0.4,0.02,13,30,5,True,0.9488580809172404
"(19,1)",0.4,0.02,14,22,5,True,0.9550550510621377
"(19,1)",0.4,0.02,15,34,5,True,0.9448183041722745
"(19,1)",0.4,0.02,16,17,5,True,0.9440937781785391
"(19,1)",0.4,0.02,17,24,5,True,0.9561228892135121
"(19,1)",0.4,0.02,18,14,5,True,0.9580239939418583
"(19,1)",0.4,0.02,19,22,5,True,0.952445652173913
"(19,1)",0.4,0.02,20,15,5,True,0.9574215167153061
"(19,1)",0.4,0.02,21,21,5,True,0.9426666666666667
"(19,1)",0.4,0.02,22,32,5,True,0.9503572347652957
"(19,1)",0.4,0.02,23,18,5,True,0.9395161290322581
"(19,1)",0.4,0.02,24,13,5,True,0.9582737444266846
"(19,1)",0.4,0.02,25,28,5,True,0.948
"(19,1)",0.4,0.02,26,25,5,True,0.9346666666666666
"(19,1)",0.4,0.02,27,20,5,True,0.9493333333333334
"(19,1)",0.4,0.02,28,18,5,True,0.9535519125683061
"(19,1)",0.4,0.02,29,18,5,True,0.932
"(19,1)",0.4,0.02,30,19,5,True,0.9530062530062531
"(19,1)",0.4,0.02,31,28,5,True,0.9436989100817438
"(19,1)",0.4,0.02,32,29,5,True,0.9413333333333334
"(19,1)",0.4,0.02,33,16,5,True,0.9554976067525605
"(19,1)",0.4,0.02,34,27,5,True,0.9307240075259684
"(19,1)",0.4,0.02,35,19,5,True,0.9456064250820364
"(19,1)",0.4,0.02,36,11,5,True,0.9580889108770937
"(19,1)",0.4,0.02,37,25,5,True,0.9374237855946399
"(19,1)",0.4,0.02,38,28,5,True,0.9420131984888201
"(19,1)",0.4,0.02,39,20,5,True,0.951219512195122
"(19,1)",0.4,0.02,40,16,5,True,0.9556210130058787
"(19,1)",0.4,0.02,41,17,5,True,0.9552561123052339
"(19,1)",0.4,0.02,42,19,5,True,0.9564433357627489
"(19,1)",0.4,0.02,43,26,5,True,0.9566395663956639
"(19,1)",0.4,0.02,44,21,5,True,0.9574175824175823
"(19,1)",0.4,0.02,45,14,5,True,0.9497282608695652
"(19,1)",0.4,0.02,46,13,5,True,0.9562243502051984
"(19,1)",0.4,0.02,47,28,5,True,0.9587345254470426
"(19,1)",0.4,0.02,48,25,5,True,0.9529757188796197
"(19,1)",0.4,0.02,49,33,5,True,0.9476064398707705
"(19,1)",0.4,0.02,50,21,5,True,0.9486102779444111
