theta,gen,true_prior,trialNo,P(n=0 boxes open),P(n=1 boxes open),P(n=2 boxes open),P(n=3 boxes open),P(n=4 boxes open),P(n=5 boxes open)
"(9,1)",0.5,0.02,1,0.72,0.28,0.0,0.0,0.0,0.0
"(9,1)",0.5,0.02,2,0.36,0.64,0.0,0.0,0.0,0.0
"(9,1)",0.5,0.02,3,0.25,0.63,0.12,0.0,0.0,0.0
"(9,1)",0.5,0.02,4,0.22,0.51,0.25,0.02,0.0,0.0
"(9,1)",0.5,0.02,5,0.17,0.49,0.29,0.05,0.0,0.0
"(9,1)",0.5,0.02,6,0.14,0.43,0.37,0.06,0.0,0.0
"(9,1)",0.5,0.02,7,0.14,0.33,0.42,0.09,0.02,0.0
"(9,1)",0.5,0.02,8,0.12,0.27,0.42,0.16,0.03,0.0
"(9,1)",0.5,0.02,9,0.1,0.24,0.38,0.22,0.06,0.0
"(9,1)",0.5,0.02,10,0.07,0.22,0.39,0.21,0.1,0.01
"(9,1)",0.5,0.02,11,0.07,0.16,0.36,0.27,0.13,0.01
"(9,1)",0.5,0.02,12,0.06,0.13,0.34,0.26,0.17,0.04
"(9,1)",0.5,0.02,13,0.06,0.09,0.34,0.26,0.17,0.08
"(9,1)",0.5,0.02,14,0.05,0.1,0.31,0.25,0.18,0.11
"(9,1)",0.5,0.02,15,0.04,0.08,0.26,0.28,0.2,0.14
"(9,1)",0.5,0.02,16,0.03,0.07,0.25,0.31,0.19,0.15
"(9,1)",0.5,0.02,17,0.03,0.07,0.2,0.3,0.22,0.18
"(9,1)",0.5,0.02,18,0.01,0.09,0.17,0.28,0.2,0.25
"(9,1)",0.5,0.02,19,0.01,0.07,0.13,0.27,0.2,0.32
"(9,1)",0.5,0.02,20,0.01,0.06,0.11,0.25,0.19,0.38
"(9,1)",0.5,0.02,21,0.01,0.05,0.1,0.21,0.2,0.43
"(9,1)",0.5,0.02,22,0.01,0.04,0.09,0.17,0.2,0.49
"(9,1)",0.5,0.02,23,0.01,0.03,0.08,0.16,0.18,0.54
"(9,1)",0.5,0.02,24,0.01,0.03,0.06,0.1,0.21,0.59
"(9,1)",0.5,0.02,25,0.01,0.03,0.06,0.07,0.17,0.66
"(9,1)",0.5,0.02,26,0.01,0.03,0.03,0.08,0.14,0.71
"(9,1)",0.5,0.02,27,0.01,0.03,0.03,0.05,0.16,0.72
"(9,1)",0.5,0.02,28,0.01,0.03,0.02,0.05,0.12,0.77
"(9,1)",0.5,0.02,29,0.01,0.03,0.02,0.05,0.09,0.8
"(9,1)",0.5,0.02,30,0.01,0.03,0.01,0.04,0.07,0.84
"(9,1)",0.5,0.02,31,0.0,0.03,0.02,0.02,0.05,0.88
"(9,1)",0.5,0.02,32,0.0,0.01,0.02,0.02,0.07,0.88
"(9,1)",0.5,0.02,33,0.0,0.01,0.02,0.01,0.07,0.89
"(9,1)",0.5,0.02,34,0.0,0.01,0.02,0.0,0.05,0.92
"(9,1)",0.5,0.02,35,0.0,0.01,0.02,0.0,0.04,0.93
"(9,1)",0.5,0.02,36,0.0,0.01,0.01,0.01,0.01,0.96
"(9,1)",0.5,0.02,37,0.0,0.01,0.01,0.01,0.01,0.96
"(9,1)",0.5,0.02,38,0.0,0.01,0.01,0.01,0.0,0.97
"(9,1)",0.5,0.02,39,0.0,0.01,0.01,0.01,0.0,0.97
"(9,1)",0.5,0.02,40,0.0,0.01,0.01,0.01,0.0,0.97
"(9,1)",0.5,0.02,41,0.0,0.01,0.01,0.0,0.01,0.97
"(9,1)",0.5,0.02,42,0.0,0.01,0.01,0.0,0.01,0.97
"(9,1)",0.5,0.02,43,0.0,0.01,0.0,0.01,0.01,0.97
"(9,1)",0.5,0.02,44,0.0,0.01,0.0,0.01,0.01,0.97
"(9,1)",0.5,0.02,45,0.0,0.01,0.0,0.0,0.02,0.97
"(9,1)",0.5,0.02,46,0.0,0.01,0.0,0.0,0.02,0.97
"(9,1)",0.5,0.02,47,0.0,0.01,0.0,0.0,0.01,0.98
"(9,1)",0.5,0.02,48,0.0,0.01,0.0,0.0,0.0,0.99
"(9,1)",0.5,0.02,49,0.0,0.0,0.01,0.0,0.0,0.99
"(9,1)",0.5,0.02,50,0.0,0.0,0.0,0.01,0.0,0.99
"(9,1)",0.5,0.02,51,0.0,0.0,0.0,0.01,0.0,0.99
"(9,1)",0.5,0.02,52,0.0,0.0,0.0,0.01,0.0,0.99
"(9,1)",0.5,0.02,53,0.0,0.0,0.0,0.0,0.01,0.99
"(9,1)",0.5,0.02,54,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,55,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,56,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,57,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,58,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,59,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,60,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,61,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,62,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,63,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,64,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,65,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,66,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,67,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,68,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,69,0.0,0.0,0.0,0.0,0.0,1.0
"(9,1)",0.5,0.02,70,0.0,0.0,0.0,0.0,0.0,1.0
