profile,value,mean_total_nll,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,70.20263580622938,5.040501708869243,60.323252456845665,80.0820191556131,20,11 theta values
p_gen,0.2,61.74939351724869,4.181026805282615,53.55458097889476,69.94420605560262,20,11 theta values
p_gen,0.3,46.78504325922138,3.870046645057884,39.19975183490793,54.370334683534836,20,11 theta values
p_gen,0.4,39.507289561581764,4.319596388999929,31.040880639141903,47.973698484021625,20,11 theta values
p_gen,0.5,41.870207669140264,4.527296874381525,32.996705795352476,50.74370954292805,20,11 theta values
p_gen,0.6,41.734475708100575,4.239877443397787,33.424315919040914,50.044635497160236,20,11 theta values
p_gen,0.7,40.578966274214245,3.6031960686518536,33.51670197965661,47.64123056877188,20,11 theta values
p_gen,0.8,41.605737028326864,2.374481769849131,36.95175275942257,46.25972129723116,20,11 theta values
p_gen,0.9,44.91741405808595,2.997340513506025,39.04262665161414,50.79220146455776,20,11 theta values
theta,"(1,1)",69.57830312631292,3.8443788458140298,62.04332058851742,77.11328566410842,20,9 p_gen values
theta,"(1,2)",72.89099098368871,3.2047668284710285,66.6096479998855,79.17233396749192,20,9 p_gen values
theta,"(1,3)",75.32877958605387,3.408614205576327,68.64789574312427,82.00966342898347,20,9 p_gen values
theta,"(2,1)",47.70317130310666,3.722079084786213,40.40789629692568,54.99844630928764,20,9 p_gen values
theta,"(3,1)",39.419571827760905,4.57370763413074,30.455104864864655,48.38403879065716,20,9 p_gen values
theta,"(4,1)",44.089132930552914,4.256909590837473,35.74559013251147,52.43267572859436,20,9 p_gen values
theta,"(5,1)",35.751551618102106,4.2141268179943125,27.491863054833253,44.01124018137096,20,9 p_gen values
theta,"(6,1)",40.8420115364152,3.709869565516956,33.57066718800196,48.11335588482844,20,9 p_gen values
theta,"(9,1)",32.31817130937053,3.6666114651145967,25.13161283774592,39.504729780995135,20,9 p_gen values
theta,"(15,1)",32.34059367084613,4.019544755180524,24.462285950692305,40.21890139099996,20,9 p_gen values
theta,"(19,1)",34.01136563041675,4.139241205470606,25.89845286769436,42.124278393139136,20,9 p_gen values
