profile,value,mean_total_nll,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,46.846781495026974,4.454746687254839,38.11547798800749,55.57808500204646,20,11 theta values
p_gen,0.2,34.84938911277247,3.2988212193463484,28.38369952285363,41.315078702691316,20,11 theta values
p_gen,0.3,34.981578204144256,3.2345471400334875,28.64186580967862,41.32129059860989,20,11 theta values
p_gen,0.4,32.450973446231444,2.708781786621729,27.141761144452854,37.76018574801003,20,11 theta values
p_gen,0.5,28.926904596263576,2.6437928958222328,23.745070520452,34.10873867207515,20,11 theta values
p_gen,0.6,31.47576580071626,2.8441532912494156,25.901225349867406,37.05030625156512,20,11 theta values
p_gen,0.7,28.520922151245863,2.1558687327297665,24.29541943509552,32.74642486739621,20,11 theta values
p_gen,0.8,32.76396691718763,3.2561396195054293,26.38193326295699,39.14600057141827,20,11 theta values
p_gen,0.9,35.525630603124235,4.143795127970755,27.403792152301556,43.647469053946914,20,11 theta values
theta,"(1,1)",43.688017907318915,5.352267716111888,33.197573183739614,54.17846263089822,20,9 p_gen values
theta,"(1,2)",48.82523292678712,5.329078342311976,38.38023937585565,59.270226477718595,20,9 p_gen values
theta,"(1,3)",53.81366348359328,5.463160351865801,43.105869193936314,64.52145777325025,20,9 p_gen values
theta,"(2,1)",33.40979639162134,3.5777968728207195,26.39731452089273,40.42227826234995,20,9 p_gen values
theta,"(3,1)",30.869466321442655,3.4722188914568575,24.063917294187213,37.675015348698096,20,9 p_gen values
theta,"(4,1)",27.994444214153617,2.1594066756671224,23.762007129846058,32.22688129846118,20,9 p_gen values
theta,"(5,1)",26.28222895159619,2.1211916992734983,22.12469322102013,30.439764682172246,20,9 p_gen values
theta,"(6,1)",28.967950652588325,2.678100033802805,23.718874586334827,34.21702671884182,20,9 p_gen values
theta,"(9,1)",28.298126672730092,1.9186891907393027,24.53749585888106,32.058757486579125,20,9 p_gen values
theta,"(15,1)",25.900890322352854,1.9234575761477632,22.130913473103238,29.67086717160247,20,9 p_gen values
theta,"(19,1)",26.368074999575576,1.8809848204932773,22.68134475140875,30.0548052477424,20,9 p_gen values
