profile,value,mean_total_nll,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,52.07262595144599,4.967227700111593,42.33685965922727,61.80839224366471,20,11 theta values
p_gen,0.2,46.489072893950706,4.080025694621623,38.49222253249232,54.48592325540909,20,11 theta values
p_gen,0.3,36.27804872538805,2.9015853008362225,30.59094153574905,41.96515591502704,20,11 theta values
p_gen,0.4,28.984242570395814,2.4161445224007574,24.24859930649033,33.7198858343013,20,11 theta values
p_gen,0.5,29.350070042827372,2.732485871051983,23.994397735565485,34.70574235008926,20,11 theta values
p_gen,0.6,28.48480183868684,2.6518592449837803,23.28715771851863,33.68244595885505,20,11 theta values
p_gen,0.7,29.327276099321487,2.5295975629946086,24.369264875852053,34.28528732279092,20,11 theta values
p_gen,0.8,32.440527408157514,3.132953190296665,26.29993915517605,38.58111566113898,20,11 theta values
p_gen,0.9,32.975607005233464,3.130372385250732,26.840077130142028,39.1111368803249,20,11 theta values
theta,"(1,1)",49.18133834442052,6.65993123315477,36.12787312743717,62.234803561403865,20,9 p_gen values
theta,"(1,2)",56.34078459758954,6.187347454958589,44.21358358587071,68.46798560930837,20,9 p_gen values
theta,"(1,3)",62.308846295251215,6.151354369880234,50.25219173028596,74.36550086021647,20,9 p_gen values
theta,"(2,1)",32.245912556154686,2.9871171814548356,26.39116288050321,38.10066223180616,20,9 p_gen values
theta,"(3,1)",26.97476694775571,2.254077548940871,22.556774951831603,31.39275894367982,20,9 p_gen values
theta,"(4,1)",30.561827133255967,2.73858456997835,25.194201376098402,35.929452890413536,20,9 p_gen values
theta,"(5,1)",25.71371674126915,1.7003986069683212,22.380935471611238,29.04649801092706,20,9 p_gen values
theta,"(6,1)",27.73845880061104,2.697576027209804,22.451209787279822,33.025707813942255,20,9 p_gen values
theta,"(9,1)",24.5612617155434,1.391585970483342,21.833753213396047,27.28877021769075,20,9 p_gen values
theta,"(15,1)",25.84272924060023,1.766122506338692,22.381129128176397,29.304329353024066,20,9 p_gen values
theta,"(19,1)",25.244246281935165,1.9774533601609605,21.368437696019683,29.120054867850648,20,9 p_gen values
