run_id,theta,p_gen,total_nll,num_trials,k,aic
1,"(15,1)",0.1,25.502945451793558,17,1,53.005890903587115
2,"(15,1)",0.1,9.606131809379256,9,1,21.212263618758513
3,"(15,1)",0.1,23.55826272212956,17,1,49.11652544425912
4,"(15,1)",0.1,18.41856851892709,13,1,38.83713703785418
5,"(15,1)",0.1,21.262891858918543,16,1,44.525783717837086
6,"(15,1)",0.1,171.19621292494725,24,1,344.3924258498945
7,"(15,1)",0.1,24.827251826974226,15,1,51.65450365394845
8,"(15,1)",0.1,133.05592560398748,26,1,268.11185120797495
9,"(15,1)",0.1,29.508679237454036,13,1,61.01735847490807
10,"(15,1)",0.1,177.67957699752654,28,1,357.3591539950531
11,"(15,1)",0.1,10.811287499273373,12,1,23.622574998546746
12,"(15,1)",0.1,8.491536117545667,10,1,18.983072235091335
13,"(15,1)",0.1,42.19953145558337,22,1,86.39906291116674
14,"(15,1)",0.1,15.124506682067022,14,1,32.24901336413404
15,"(15,1)",0.1,69.42348618203677,22,1,140.84697236407354
16,"(15,1)",0.1,7.5932384623811675,10,1,17.186476924762335
17,"(15,1)",0.1,98.51031314606792,23,1,199.02062629213583
18,"(15,1)",0.1,27.464655601615654,17,1,56.92931120323131
19,"(15,1)",0.1,569.1062368349349,42,1,1140.2124736698697
20,"(15,1)",0.1,70.40741541736335,23,1,142.8148308347267
1,"(15,1)",0.2,20.929072766171164,17,2,45.85814553234233
2,"(15,1)",0.2,10.648572543392019,9,2,25.297145086784038
3,"(15,1)",0.2,20.954733626249062,17,2,45.909467252498125
4,"(15,1)",0.2,14.429802477989753,13,2,32.859604955979506
5,"(15,1)",0.2,19.39542351443927,16,2,42.79084702887854
6,"(15,1)",0.2,72.4584108264094,24,2,148.9168216528188
7,"(15,1)",0.2,20.29009362270355,15,2,44.5801872454071
8,"(15,1)",0.2,36.35824601617503,26,2,76.71649203235006
9,"(15,1)",0.2,28.095972901789107,13,2,60.191945803578214
10,"(15,1)",0.2,49.59297562683605,28,2,103.1859512536721
11,"(15,1)",0.2,10.95566042351877,12,2,25.91132084703754
12,"(15,1)",0.2,10.410519102951264,10,2,24.82103820590253
13,"(15,1)",0.2,33.95803552123215,22,2,71.9160710424643
14,"(15,1)",0.2,16.445842785899863,14,2,36.89168557179973
15,"(15,1)",0.2,43.58459527302247,22,2,91.16919054604494
16,"(15,1)",0.2,9.066457505454647,10,2,22.132915010909294
17,"(15,1)",0.2,58.468063043339406,23,2,120.93612608667881
18,"(15,1)",0.2,19.632465551221575,17,2,43.26493110244315
19,"(15,1)",0.2,453.7670301951175,42,2,911.534060390235
20,"(15,1)",0.2,30.99527924422389,23,2,65.99055848844779
1,"(15,1)",0.3,19.11911242330181,17,2,42.23822484660362
2,"(15,1)",0.3,11.517043034536623,9,2,27.034086069073247
3,"(15,1)",0.3,22.106153334286578,17,2,48.212306668573156
4,"(15,1)",0.3,15.205523260840016,13,2,34.411046521680035
5,"(15,1)",0.3,19.26466585525569,16,2,42.52933171051138
6,"(15,1)",0.3,42.163468623315026,24,2,88.32693724663005
7,"(15,1)",0.3,18.890348444625907,15,2,41.780696889251814
8,"(15,1)",0.3,38.55108615738032,26,2,81.10217231476064
9,"(15,1)",0.3,23.175503828717098,13,2,50.351007657434195
10,"(15,1)",0.3,70.74202263647676,28,2,145.48404527295352
11,"(15,1)",0.3,12.909076377610036,12,2,29.818152755220073
12,"(15,1)",0.3,12.87896482564775,10,2,29.7579296512955
13,"(15,1)",0.3,36.354487967213025,22,2,76.70897593442605
14,"(15,1)",0.3,18.612960019205264,14,2,41.22592003841053
15,"(15,1)",0.3,37.32583406273035,22,2,78.6516681254607
16,"(15,1)",0.3,11.290580322411481,10,2,26.581160644822962
17,"(15,1)",0.3,59.70380405009494,23,2,123.40760810018988
18,"(15,1)",0.3,18.54501263699715,17,2,41.0900252739943
19,"(15,1)",0.3,422.5130003480784,42,2,849.0260006961568
20,"(15,1)",0.3,29.78696861990484,23,2,63.57393723980968
1,"(15,1)",0.4,23.150429008975504,17,2,50.30085801795101
2,"(15,1)",0.4,12.861209156054578,9,2,29.722418312109156
3,"(15,1)",0.4,23.06300699049945,17,2,50.1260139809989
4,"(15,1)",0.4,15.460951659298283,13,2,34.92190331859656
5,"(15,1)",0.4,21.907018461738662,16,2,47.814036923477325
6,"(15,1)",0.4,43.79387193302438,24,2,91.58774386604875
7,"(15,1)",0.4,19.199193875502154,15,2,42.39838775100431
8,"(15,1)",0.4,36.045765018428305,26,2,76.09153003685661
9,"(15,1)",0.4,20.62851645823421,13,2,45.25703291646842
10,"(15,1)",0.4,44.8567808880241,28,2,93.7135617760482
11,"(15,1)",0.4,15.336363514399899,12,2,34.6727270287998
12,"(15,1)",0.4,14.284959713886758,10,2,32.56991942777351
13,"(15,1)",0.4,32.486228595022006,22,2,68.97245719004401
14,"(15,1)",0.4,19.490567952640546,14,2,42.98113590528109
15,"(15,1)",0.4,34.1607476231603,22,2,72.3214952463206
16,"(15,1)",0.4,13.677370421688458,10,2,31.354740843376916
17,"(15,1)",0.4,44.54851501639186,23,2,93.09703003278372
18,"(15,1)",0.4,21.20156849097244,17,2,46.40313698194488
19,"(15,1)",0.4,444.9492714294864,42,2,893.8985428589727
20,"(15,1)",0.4,29.19613554141356,23,2,62.39227108282712
1,"(15,1)",0.5,21.184661490994117,17,2,46.36932298198823
2,"(15,1)",0.5,13.376221896742237,9,2,30.752443793484474
3,"(15,1)",0.5,27.990322316461942,17,2,59.980644632923884
4,"(15,1)",0.5,16.790362129252994,13,2,37.58072425850599
5,"(15,1)",0.5,23.23135876409465,16,2,50.4627175281893
6,"(15,1)",0.5,37.32637348789255,24,2,78.6527469757851
7,"(15,1)",0.5,23.82270555313351,15,2,51.64541110626702
8,"(15,1)",0.5,36.44723071696545,26,2,76.8944614339309
9,"(15,1)",0.5,24.025740510348474,13,2,52.05148102069695
10,"(15,1)",0.5,42.76576207252559,28,2,89.53152414505118
11,"(15,1)",0.5,15.273530518344735,12,2,34.54706103668947
12,"(15,1)",0.5,15.265230715529539,10,2,34.53046143105908
13,"(15,1)",0.5,33.13248605790958,22,2,70.26497211581916
14,"(15,1)",0.5,22.280428676373834,14,2,48.56085735274767
15,"(15,1)",0.5,33.2980747285209,22,2,70.5961494570418
16,"(15,1)",0.5,14.052208075683685,10,2,32.104416151367374
17,"(15,1)",0.5,42.2385117472444,23,2,88.4770234944888
18,"(15,1)",0.5,21.589290828054885,17,2,47.17858165610977
19,"(15,1)",0.5,212.7315623992761,42,2,429.4631247985522
20,"(15,1)",0.5,31.711605246514146,23,2,67.4232104930283
1,"(15,1)",0.6,18.00407235194034,17,2,40.00814470388068
2,"(15,1)",0.6,14.440269014937865,9,2,32.88053802987573
3,"(15,1)",0.6,33.417043610675684,17,2,70.83408722135137
4,"(15,1)",0.6,20.06220535452826,13,2,44.12441070905652
5,"(15,1)",0.6,23.62133607682546,16,2,51.24267215365092
6,"(15,1)",0.6,33.665491187706444,24,2,71.33098237541289
7,"(15,1)",0.6,29.247227918520153,15,2,62.494455837040306
8,"(15,1)",0.6,33.40039723576898,26,2,70.80079447153796
9,"(15,1)",0.6,32.5799548853588,13,2,69.1599097707176
10,"(15,1)",0.6,38.48014465574408,28,2,80.96028931148815
11,"(15,1)",0.6,16.23162639552287,12,2,36.46325279104574
12,"(15,1)",0.6,18.09005032959611,10,2,40.18010065919222
13,"(15,1)",0.6,32.76486429968202,22,2,69.52972859936403
14,"(15,1)",0.6,25.59392648117712,14,2,55.18785296235424
15,"(15,1)",0.6,32.95738140837516,22,2,69.91476281675033
16,"(15,1)",0.6,15.809938092454122,10,2,35.61987618490824
17,"(15,1)",0.6,46.92651737602553,23,2,97.85303475205106
18,"(15,1)",0.6,20.19174696671565,17,2,44.3834939334313
19,"(15,1)",0.6,263.4521904423084,42,2,530.9043808846168
20,"(15,1)",0.6,31.990840076993468,23,2,67.98168015398693
1,"(15,1)",0.7,20.258215342487784,17,2,44.51643068497557
2,"(15,1)",0.7,34.53460374581191,9,2,73.06920749162381
3,"(15,1)",0.7,33.69281154008055,17,2,71.3856230801611
4,"(15,1)",0.7,20.850350047809037,13,2,45.700700095618075
5,"(15,1)",0.7,23.815383585521708,16,2,51.630767171043416
6,"(15,1)",0.7,31.82573188999511,24,2,67.65146377999022
7,"(15,1)",0.7,29.728056959471182,15,2,63.456113918942364
8,"(15,1)",0.7,37.629388746339,26,2,79.258777492678
9,"(15,1)",0.7,49.07526161157772,13,2,102.15052322315545
10,"(15,1)",0.7,40.44272447518714,28,2,84.88544895037428
11,"(15,1)",0.7,17.76370522526508,12,2,39.52741045053016
