profile,value,mean_aic,standard_error,ci95_lower,ci95_upper,num_runs,averaged_over
p_gen,0.1,130.54477819805373,31.523964538933424,68.75780770174423,192.33174869436323,20,11 theta values
p_gen,0.2,95.13062073309496,26.108447940912146,43.958062768907155,146.30317869728276,20,11 theta values
p_gen,0.3,85.16495371996986,16.709992635437757,52.41336815451186,117.91653928542786,20,11 theta values
p_gen,0.4,78.70654318036854,12.973794112473852,53.27790671991979,104.13517964081728,20,11 theta values
p_gen,0.5,70.05132536382976,9.119571673778522,52.17696488322386,87.92568584443566,20,11 theta values
p_gen,0.6,75.95477680585745,10.304191565539623,55.75856133739978,96.15099227431512,20,11 theta values
p_gen,0.7,68.32168615540951,6.264621301818603,56.04302840384505,80.60034390697398,20,11 theta values
p_gen,0.8,70.1195261414005,6.3043205122019845,57.76305793748461,82.4759943453164,20,11 theta values
p_gen,0.9,72.55728014488547,7.006034558230492,58.825452410753705,86.28910787901724,20,11 theta values
theta,"(1,1)",79.17853234278189,7.524537899011338,64.43043806071967,93.92662662484412,20,9 p_gen values
theta,"(1,2)",89.75060182561607,9.14799775249131,71.82052623073311,107.68067742049904,20,9 p_gen values
theta,"(1,3)",94.02483018056466,8.392672209948598,77.57519264906541,110.47446771206391,20,9 p_gen values
theta,"(2,1)",72.93133930332752,9.046385309388047,55.20042409692695,90.66225450972809,20,9 p_gen values
theta,"(3,1)",72.35837145241796,10.338765569785567,52.094390935638245,92.62235196919767,20,9 p_gen values
theta,"(4,1)",79.49590477551013,15.803766320815448,48.52052278671185,110.4712867643084,20,9 p_gen values
theta,"(5,1)",75.65589053193837,15.373571051012485,45.52369127195389,105.78808979192284,20,9 p_gen values
theta,"(6,1)",80.0306319062984,14.850812573090517,50.923039263040984,109.13822454955582,20,9 p_gen values
theta,"(9,1)",91.5484401518193,20.86680355881591,50.649505176540124,132.4473751270985,20,9 p_gen values
theta,"(15,1)",90.60121906911496,26.89333131639212,37.89028968898641,143.31214844924352,20,9 p_gen values
theta,"(19,1)",86.87606011300718,21.492978622815723,44.74982201228837,129.002298213726,20,9 p_gen values
